quarter,fiveYearCDS,Three_Month_Deposit_Rate,EU_Banking_Risk,historical_3_month_volatility,implied_volatility,real_effective_exchange_rate,GDP_YOY,GDP_per_capita,CPI_actual,unemployment,budget_balance,net_debt,current_Account,currency_Reserves,total_reserves_to_importS,total_foreign_claims_on_country,foreign_Direct_investment,EIU_political_risk,WGI_control_of_corruption,WGI_govt_effectiveness,WGI_regulatory_quality,WGI_rule_of_law
0,2005-03-31,,,71,,8.1738,120.91,8.4,4523.777191780822,,13.0,0.75,118,1.37,0.11187565816088163,0.11142032981058865,15740.0,-3573.3438356164384,58,-0.42,-0.06,-0.71,-0.81
1,2005-06-30,368.502,,71,,8.1738,121.27,11.9,4735.483830136986,,12.1,1.13,119,1.15,0.10618057080240445,0.12115369082342382,24648.0,-3699.372602739726,58,-0.42,-0.06,-0.71,-0.81
2,2005-09-30,284.625,,66,,7.5,119.78,7.4,4949.516915068493,,11.1,0.81,120,1.74,0.12213892998470402,0.09840334099987895,25443.0,-3826.786301369863,58,-0.42,-0.06,-0.71,-0.81
3,2005-12-31,367.002,,65,,6.5,118.69,7.9,5163.55,,10.1,0.38,121,2.07,0.132089704854169,0.09003752897457597,25106.0,-3954.2,60,-0.39,-0.12,-0.55,-0.55
4,2006-03-31,295.249,,49,,6.5,115.57,7.6,5363.900356164384,,11.4,0.69,122,2.48,0.0982616837155185,0.13293300852618756,23648.0,-3743.230136986301,43,-0.39,-0.12,-0.55,-0.55
5,2006-06-30,303.801,,52,,6.5,117.76,6.6,5566.47682739726,,10.4,0.95,123,2.45,0.10346326635065466,0.11652410798410552,25828.0,-3529.9161643835614,51,-0.39,-0.12,-0.55,-0.55
6,2006-09-30,269.918,,52,,6.5,116.93,8.8,5771.27941369863,,10.2,0.79,124,2.38,0.11473273737332879,0.11641577326853877,27839.0,-3314.258082191781,51,-0.39,-0.12,-0.55,-0.55
7,2006-12-31,202.626,,51,,6.5,118.82,9.1,5976.082,,8.7,0.46,125,2.62,0.12391326501181228,0.08831796265734718,30742.0,-3098.6,52,-0.34,-0.05,-0.64,-0.57
8,2007-03-31,205.554,,51,,3.75,117.42,8.8,6306.405178082192,,9.8,0.58,126,2.63,0.14270292571757973,0.0956823090516395,30170.0,-3559.7698630136983,51,-0.34,-0.05,-0.64,-0.57
9,2007-06-30,249.759,,48,,4.0,115.05,9.9,6640.3986136986305,,8.5,0.92,127,2.34,0.14352056901838048,0.0849674821926293,32343.0,-4026.063835616438,52,-0.34,-0.05,-0.64,-0.57
