quarter,fiveYearCDS,Three_Month_Deposit_Rate,EU_Banking_Risk,historical_3_month_volatility,implied_volatility,real_effective_exchange_rate,GDP_YOY,GDP_per_capita,CPI_actual,unemployment,budget_balance,net_debt,current_Account,currency_Reserves,total_reserves_to_importS,total_foreign_claims_on_country,foreign_Direct_investment,EIU_political_risk,WGI_control_of_corruption,WGI_govt_effectiveness,WGI_regulatory_quality,WGI_rule_of_law
0,2005-03-31,433.2,17.49,50,,14.05,60.6,4.19,3939.4932602739723,7.45,,-2.9,106.78082191780823,1.83,0.3296975085549619,0.10174721129142411,90359.0,-9645.37397260274,39,0.02,0.02,0.03,-0.36
1,2005-06-30,325.981,18.2,50,,13.35,70.04,4.47,4227.780512328767,7.8,,-2.91,95.43698630136987,1.6600000000000001,0.2587601739870826,0.11024910373150656,135438.0,-10606.408767123288,40,0.02,0.02,0.03,-0.36
2,2005-09-30,244.257,17.69,50,,14.7,72.81,2.11,4519.235756164383,6.21,,-3.19,83.96849315068494,1.51,0.2276295900039612,0.11849319432890243,152458.0,-11578.004383561643,44,0.02,0.02,0.03,-0.36
3,2005-12-31,225.071,15.27,51,,16.5,75.59,2.15,4810.691,6.09,,-3.43,72.5,1.53,0.21349813634631168,0.130600995398629,152264.0,-12549.6,45,-0.14,-0.1,0.04,-0.43
4,2006-03-31,147.634,14.75,39,,16.15,79.86,4.28,5080.828589041095,5.51,,-4.09,70.4041095890411,1.34,0.23111505944756167,0.13847692411649437,165419.0,-7132.364383561646,26,-0.14,-0.1,0.04,-0.43
5,2006-06-30,171.794,14.735,45,,16.675,74.58,2.2800000000000002,5353.967706849315,4.3,,-3.82,68.28493150684932,1.1400000000000001,0.23067461428888084,0.12619710359953554,166901.0,-1654.9372602739732,35,-0.14,-0.1,0.04,-0.43
6,2006-09-30,134.438,12.434,42,,12.65,77.17,4.49,5630.108353424657,3.84,,-3.7199999999999998,66.14246575342466,1.25,0.2553800837746501,0.1190399472135925,167643.0,3882.681369863013,38,-0.14,-0.1,0.04,-0.43
7,2006-12-31,99.5,11.771,43,,9.2,76.8,4.8,5906.249,3.14,,-3.5,64.0,1.22,0.27760111451045616,0.09018918220677345,204091.0,9420.3,40,-0.11,-0.32,-0.03,-0.37
8,2007-03-31,83.299,10.483,41,,9.96,79.28,5.2,6267.041,2.99,,-2.92,62.05205479452055,1.07,0.35490903847341637,0.08738322137166069,219013.0,312.1767123287682,37,-0.11,-0.32,-0.03,-0.37
9,2007-06-30,75.833,10.185,39,,10.825,84.53,6.54,6631.8418,3.29,,-2.91,60.08246575342466,1.1,0.42108348107447197,0.07096210330742223,249321.0,-8897.147945205481,36,-0.11,-0.32,-0.03,-0.37
10,2007-09-30,85.099,9.059,40,,13.1,84.78,5.87,7000.6514,4.02,,-2.7800000000000002,58.09123287671233,0.54,0.42977277602240965,0.07282110261470152,265402.0,-18207.67397260274,38,-0.11,-0.32,-0.03,-0.37
11,2007-12-31,103.0,9.703,40,14.842,13.8,88.37,6.64,7369.461,4.26,,-2.77,56.1,0.13,0.4397268217733042,0.07137087380805092,297926.0,-27518.2,38,-0.08,-0.21,-0.03,-0.37
12,2008-03-31,177.665,9.777,39,15.201,13.67,89.7,6.16,7737.532628415301,4.63,,-2.43,54.235245901639345,-0.53,0.4778553253611027,0.06331943178717248,319586.0,-26792.910109289616,38,-0.08,-0.21,-0.03,-0.37
13,2008-06-30,120.571,11.945,40,11.691,11.683,94.61,6.34,8105.604256830601,5.5600000000000005,,-2.25,52.37049180327869,-1.04,0.41643161872583734,0.0842094464073025,371764.0,-26067.620218579235,38,-0.08,-0.21,-0.03,-0.37
