quarter,fiveYearCDS,Three_Month_Deposit_Rate,EU_Banking_Risk,historical_3_month_volatility,implied_volatility,real_effective_exchange_rate,GDP_YOY,GDP_per_capita,CPI_actual,unemployment,budget_balance,net_debt,current_Account,currency_Reserves,total_reserves_to_importS,total_foreign_claims_on_country,foreign_Direct_investment,EIU_political_risk,WGI_control_of_corruption,WGI_govt_effectiveness,WGI_regulatory_quality,WGI_rule_of_law
0,2005-03-31,24.25,,26,,11.5,88.33,6.22,6547.947753424658,2.29,9.1,1.8924520547945205,11.493150684931507,1.76,0.549860592102849,0.1784281948647857,21610.0,-4818.990410958904,26,1.37,1.19,1.4,1.32
1,2005-06-30,23.875,,24,,9.25,90.8,6.39,6898.934504109589,2.77,10.1,2.4783424657534248,10.171780821917809,1.5699999999999998,0.5740835970976385,0.15584019536489568,50052.0,-4987.128493150685,26,1.37,1.19,1.4,1.32
2,2005-09-30,20.563,,25,,9.5,99.11,5.29,7253.778252054794,3.32,9.8,3.0706712328767125,8.835890410958903,1.18,0.4915430531387136,0.18964963671715104,52544.0,-5157.114246575343,26,1.37,1.19,1.4,1.32
3,2005-12-31,19.625,,25,,10.0,104.43,5.3,7608.622,3.81,7.9,3.6630000000000003,7.5,1.55,0.45927686502615117,0.16288365664059729,55015.0,-5327.1,26,1.47,1.24,1.3599999999999999,1.3
4,2006-03-31,19.1,,27,,10.0,99.85,6.89,8070.57991780822,4.07,8.4,4.406178082191781,6.982191780821918,1.74,0.4296333586862528,0.20366499372647429,56428.0,-5338.738356164384,17,1.47,1.24,1.3599999999999999,1.3
5,2006-06-30,20.75,,31,,12.25,96.99,6.66,8537.670701369863,3.81,8.9,5.157613698630136,6.458630136986302,3.23,0.45875908414793753,0.1888129297624948,59349.0,-5350.50602739726,18,1.47,1.24,1.3599999999999999,1.3
6,2006-09-30,22.2,,27,,8.8,97.31,5.55,9009.894350684932,3.49,7.9,5.917306849315068,5.929315068493151,4.15,0.46536467593783465,0.19776329753848612,58160.0,-5362.40301369863,17,1.47,1.24,1.3599999999999999,1.3
7,2006-12-31,18.5,,26,,7.0,96.75,6.2,9482.118,2.25,6.0,6.677,5.4,4.64,0.4738800622014762,0.16521297442244223,60918.0,-5374.3,17,1.46,1.03,1.47,1.27
8,2007-03-31,15.307,,26,,7.4,94.14,6.71,9737.10205479452,2.69,6.7,6.928013698630137,5.079452054794521,5.74,0.36972389366989694,0.24571659781636873,58764.0,-6175.398630136987,17,1.46,1.03,1.47,1.27
9,2007-06-30,13.168,,27,5.01,7.0,95.78,5.48,9994.919265753424,2.86,6.9,7.181816438356164,4.755342465753425,5.36,0.4139014629697856,0.21067190128996074,63768.0,-6985.398356164384,19,1.46,1.03,1.47,1.27
10,2007-09-30,18.168,,31,7.08,6.63,98.54,3.76,10255.569632876712,4.78,7.7,7.438408219178083,4.427671232876712,5.24,0.384158923784707,0.24029349254904853,68974.0,-7804.299178082192,19,1.46,1.03,1.47,1.27
11,2007-12-31,31.708,,32,7.82,7.5,99.56,3.79,10516.22,7.23,7.2,7.695,4.1,4.15,0.3493007102642785,0.26006426399315785,76174.0,-8623.2,19,1.4,1.28,1.51,1.29
12,2008-03-31,74.929,,29,13.16,13.38,107.9,4.34,10575.908789617486,8.01,7.6,6.731792349726776,4.3734972677595625,2.84,0.3241431849256181,0.2681627643716165,91677.0,-8796.895628415301,19,1.4,1.28,1.51,1.29
13,2008-06-30,58.49,,31,13.9,15.07,97.88,4.29,10635.597579234973,8.89,8.4,5.768584699453552,4.646994535519125,0.8,0.44867087971171676,0.2712997339580686,86154.0,-8970.591256830601,20,1.4,1.28,1.51,1.29
14,2008-09-30,113.35,,31,15.7,15.69,97.12,4.06,10695.942289617486,9.34,7.8,4.794792349726776,4.923497267759563,-1.78,0.6003876807248241,0.24068482438755961,86883.0,-9146.1956284153,20,1.4,1.28,1.51,1.29
15,2008-12-31,203.167,,35,31.69,26.05,85.11,1.38,10756.287,8.61,7.5,3.8209999999999997,5.2,-3.81,0.6147614329297555,0.179842149061216,78880.0,-9321.8,20,1.38,1.17,1.52,1.31
