quarter,fiveYearCDS,Three_Month_Deposit_Rate,EU_Banking_Risk,historical_3_month_volatility,implied_volatility,real_effective_exchange_rate,GDP_YOY,GDP_per_capita,CPI_actual,unemployment,budget_balance,net_debt,current_Account,currency_Reserves,total_reserves_to_importS,total_foreign_claims_on_country,foreign_Direct_investment,EIU_political_risk,WGI_control_of_corruption,WGI_govt_effectiveness,WGI_regulatory_quality,WGI_rule_of_law
0,2005-03-31,412.125,7.12,51,,12.0,80.9,,2897.1191506849314,5.24,12.95,-3.83,51.23287671232877,-0.57,,0.19361587896300086,5446.0,-3543.7561643835616,55,-0.13,-0.18,-0.05,-0.69
1,2005-06-30,291.366,7.18,52,,9.0,83.69,,3058.432980821918,4.96,11.52,-3.85,50.65945205479452,-0.56,,0.20488365459447846,11498.0,-4171.207397260274,56,-0.13,-0.18,-0.05,-0.69
2,2005-09-30,189.479,6.75,52,,7.25,84.29,,3221.519490410959,4.9399999999999995,11.17,-3.9699999999999998,50.07972602739726,-1.21,,0.1908195524282881,12582.0,-4805.553698630137,51,-0.13,-0.18,-0.05,-0.69
3,2005-12-31,167.0,6.14,49,,7.375,86.0,,3384.606,5.07,10.33,-4.19,49.5,-1.3,,0.17164830369804734,14138.0,-5439.9,52,-0.13,-0.18,0.01,-0.62
4,2006-03-31,136.962,5.79,42,,5.7719000000000005,85.68,5.4,3466.7010410958906,4.29,11.34,-3.89,51.3,-1.34,,0.18848427010931668,14383.0,-5450.502739726027,48,-0.13,-0.18,0.01,-0.62
5,2006-06-30,176.149,6.02,45,,11.0109,75.5,5.4,3549.7082493150688,4.03,10.61,-3.68,53.12,-1.63,,0.1771238591178851,14346.0,-5461.223287671232,50,-0.13,-0.18,0.01,-0.62
6,2006-09-30,145.063,6.06,45,,12.0,80.59,8.4,3633.6276246575344,4.54,12.89,-3.08,54.96,-1.51,,0.1749751076726596,15000.0,-5472.061643835616,46,-0.13,-0.18,0.01,-0.62
7,2006-12-31,114.25,5.95,42,,10.0,84.38,7.9,3717.547,4.33,11.78,-3.06,56.8,-1.81,,0.1621793130823549,17404.0,-5482.9,45,-0.12,-0.17,0.1,-0.51
8,2007-03-31,95.677,7.92,42,,9.2558,87.47,6.8,3955.855904109589,5.25,11.93,-2.67,55.81369863013698,-2.56,0.06387103043871649,0.17081500516225412,20521.0,-6006.6506849315065,45,-0.12,-0.17,0.1,-0.51
9,2007-06-30,83.713,7.43,43,,14.0056,98.94,7.8,4196.812684931507,6.17,11.16,-1.88,54.81643835616438,-2.7199999999999998,0.07129080881413573,0.16886844779491247,24072.0,-6536.220821917808,45,-0.12,-0.17,0.1,-0.51
10,2007-09-30,115.089,8.69,45,,15.75,88.86,6.4,4440.417342465754,5.33,10.84,-2.36,53.80821917808219,-2.91,0.07201661366702325,0.16836792400613818,23885.0,-7071.610410958904,48,-0.12,-0.17,0.1,-0.51
11,2007-12-31,130.0,8.89,44,,16.0127,90.6,6.5,4684.022,5.42,9.89,-2.77,52.8,-2.89,0.07345944574035818,0.15957854462167592,23365.0,-7607.0,48,-0.22,-0.05,0.24,-0.44
12,2008-03-31,217.731,7.9399999999999995,44,14.5013,14.2626,96.79,5.5,4873.182904371584,6.09,11.22,-2.18,50.263934426229504,-2.35,0.08601395840741016,0.16985910636562354,25121.0,-7575.174863387978,48,-0.22,-0.05,0.24,-0.44
13,2008-06-30,161.896,9.0,45,17.224,19.31,104.8,3.8,5062.34380874317,6.43,11.17,-2.46,47.72786885245902,-2.15,0.08178242920365399,0.18866424859757522,24661.0,-7543.349726775957,48,-0.22,-0.05,0.24,-0.44
14,2008-09-30,206.444,9.67,45,28.4126,21.39,89.8,4.1,5253.583404371585,7.65,10.95,-2.25,45.16393442622951,-2.22,0.10930026323838718,0.19725090899774325,23369.0,-7511.174863387978,48,-0.22,-0.05,0.24,-0.44
15,2008-12-31,309.175,9.8,47,28.5606,22.425,88.0,-0.2,5444.823,7.78,10.61,-1.73,42.6,-2.77,0.06811612527107122,0.15285835232521616,21515.0,-7479.0,49,-0.24,-0.03,0.26,-0.4
16,2009-03-31,400.441,7.65,49,18.4027,21.93,82.51,0.1,5377.188123287671,6.6,11.99,-2.7,43.26575342465753,-2.79,0.05803816193830847,0.16154336598244734,20543.0,-6751.824657534246,52,-0.24,-0.03,0.26,-0.4
17,2009-06-30,206.401,5.39,47,18.848300000000002,20.22,92.99,1.4,5308.8017479452055,4.77,11.34,-2.95,43.93890410958904,-2.68,0.062207201571657975,0.1467827955097964,23334.0,-6016.569589041095,50,-0.24,-0.03,0.26,-0.4
18,2009-09-30,154.167,4.68,43,15.659,18.165,95.87,0.0,5239.663873972603,3.21,12.16,-3.17,44.61945205479452,-2.45,0.4042570725820789,0.1444583923871229,24023.0,-5273.234794520547,51,-0.24,-0.03,0.26,-0.4
19,2009-12-31,142.942,3.91,41,12.9444,19.88,92.21,3.4,5170.526,2.36,11.31,-3.75,45.3,-1.98,0.3737876771428284,0.11716867490102058,23256.0,-4529.9,52,-0.31,-0.25,0.15,-0.39
20,2010-03-31,150.096,3.82,42,8.7684,14.3525,99.68,4.0,5445.376630136986,2.01,11.81,-3.41,45.02876712328767,-1.96,0.38046041430465094,0.13329963413357798,25026.0,-3646.469863013698,52,-0.31,-0.25,0.15,-0.39
21,2010-06-30,152.223,3.38,42,11.3462,14.35,101.14,3.8,5723.281156164384,2.1,11.64,-4.03,44.754520547945205,-2.1,0.36922920269624704,0.12711106585157064,24864.0,-2753.2238356164385,52,-0.31,-0.25,0.15,-0.39
22,2010-09-30,117.833,3.33,42,8.0016,11.55,104.89,4.3,6004.239578082192,2.2800000000000002,10.57,-3.61,44.477260273972604,-2.71,0.4037361472203687,0.1166597896829425,27944.0,-1850.1619178082192,50,-0.31,-0.25,0.15,-0.39
23,2010-12-31,112.672,2.92,41,14.9582,12.91,96.83,5.4,6285.198,2.7,11.12,-3.55,44.2,-3.03,0.3711918115809516,0.12447620732354503,30925.0,-947.1,45,-0.39,-0.06,0.25,-0.31
24,2011-03-31,108.495,3.59,41,9.3107,11.51,100.14,6.3,6526.576027397261,3.25,10.87,-2.88,44.0027397260274,-3.15,0.3818345594425273,0.1351341435735761,33580.0,-2248.9931506849316,45,-0.39,-0.06,0.25,-0.31
25,2011-06-30,108.143,4.12,41,8.6719,11.09,104.17,7.9,6770.636032876712,3.03,10.91,-1.45,43.80328767123288,-3.13,0.3927810346032414,0.12106478127629111,36163.0,-3565.351780821918,45,-0.39,-0.06,0.25,-0.31
26,2011-09-30,199.125,4.54,41,10.7656,19.2825,102.94,8.0,7017.378016438356,3.4699999999999998,9.74,-1.44,43.601643835616436,-2.98,0.3463165882004054,0.13239767354358478,37418.0,-4896.175890410959,45,-0.39,-0.06,0.25,-0.31
27,2011-12-31,156.089,4.8,39,10.3874,14.31,99.64,7.2,7264.12,3.9,9.82,-2.05,43.4,-2.98,0.33619260869733275,0.10728668768783906,36563.0,-6227.0,43,-0.29,0.04,0.36,-0.26
28,2012-03-31,109.994,5.44,37,6.9619,10.72,107.61,6.2,7434.74475136612,3.5,10.36,-2.4699999999999998,42.67896174863388,-2.77,0.36329064303840397,0.1366502431156866,45639.0,-8568.758196721312,43,-0.29,0.04,0.36,-0.26
29,2012-06-30,143.039,5.46,37,7.7589,12.395,109.31,4.5,7605.36950273224,3.36,10.03,-0.95,41.95792349726776,-3.11,0.3497195825732291,0.11636053570524998,40922.0,-10910.516393442624,43,-0.29,0.04,0.36,-0.26
30,2012-09-30,102.5,5.54,38,5.7838,8.725,106.34,2.6,7777.86925136612,3.07,9.94,-1.15,41.22896174863388,-3.16,0.35285644203229993,0.11332383213708339,42916.0,-13278.008196721312,43,-0.29,0.04,0.36,-0.26
31,2012-12-31,96.21,4.59,37,5.1995000000000005,6.5325,106.13,2.4,7950.369,2.76,9.55,-1.8599999999999999,40.5,-3.05,0.3577601727772303,0.09928122465325827,51944.0,-15645.5,44,-0.39,0.02,0.4,-0.35
32,2013-03-31,98.33,4.53,39,5.0062,7.135,107.75,2.7,7988.120917808219,1.9100000000000001,10.21,-1.37,40.278082191780825,-3.49,0.3308235026921015,0.12828606419561742,48727.0,-13897.724657534247,44,-0.39,0.02,0.4,-0.35
33,2013-06-30,141.325,3.9699999999999998,38,7.8449,12.44,102.31,4.3,8026.292301369863,2.06,9.24,-2.45,40.053698630136985,-3.24,0.304444178827364,0.1334515559248507,48730.0,-12130.529589041096,45,-0.39,0.02,0.4,-0.35
34,2013-09-30,134.663,4.02,40,6.884,9.2175,101.6,5.3,8064.883150684932,2.25,8.98,-2.64,39.82684931506849,-3.25,0.31170006857233823,0.12151333434542787,47280.0,-10343.914794520548,45,-0.39,0.02,0.4,-0.35
35,2013-12-31,118.658,3.71,39,5.0136,7.465,99.24,5.9,8103.474,1.85,8.44,-2.19,39.6,-3.32,0.30552107392870015,0.09886602910939918,47847.0,-8557.3,46,-0.41,0.07,0.4,-0.41
36,2014-03-31,106.015,3.7800000000000002,38,7.1464,7.66,94.54,5.7,8077.672109589041,2.32,9.73,-2.64,41.178082191780824,-3.48,0.29896805493915324,0.12097476380366806,47155.0,-9472.291780821917,46,-0.41,0.07,0.4,-0.41
37,2014-06-30,80.875,4.12,39,6.486,7.23,100.14,4.1,8051.583531506849,2.81,9.19,-3.61,42.773698630136984,-3.91,0.3072425990634631,0.12140632929185596,48355.0,-10397.450136986301,48,-0.41,0.07,0.4,-0.41
38,2014-09-30,99.578,4.27,38,7.1825,8.785,97.54,4.8,8025.208265753425,2.92,8.35,-3.38,44.386849315068496,-4.26,0.25804463538238537,0.1346369449808521,44969.0,-11332.77506849315,43,-0.41,0.07,0.4,-0.41
39,2014-12-31,140.965,3.91,38,12.9642,13.77,84.77,4.3,7998.833,3.5300000000000002,8.72,-2.6,46.0,-5.3,0.2123028682635159,0.10211221490156007,44248.0,-12268.1,43,-0.37,-0.1,0.5,-0.29
40,2015-03-31,159.46,4.24,38,15.2289,15.83,79.59,2.7,7527.835876712328,4.25,8.86,-2.96,46.88767123287671,-5.98,0.17460183154163697,0.1191926272252489,44435.0,-11096.842465753425,40,-0.37,-0.1,0.5,-0.29
41,2015-06-30,169.268,4.35,41,14.9286,16.235,78.95,2.8,7051.605452054794,4.49,8.25,-2.44,47.78520547945205,-6.47,0.1750620950936442,0.11991818184203691,45448.0,-9912.57095890411,40,-0.37,-0.1,0.5,-0.29
