quarter,fiveYearCDS,Three_Month_Deposit_Rate,EU_Banking_Risk,historical_3_month_volatility,implied_volatility,real_effective_exchange_rate,GDP_YOY,GDP_per_capita,CPI_actual,unemployment,budget_balance,net_debt,current_Account,currency_Reserves,total_reserves_to_importS,total_foreign_claims_on_country,foreign_Direct_investment,EIU_political_risk,WGI_control_of_corruption,WGI_govt_effectiveness,WGI_regulatory_quality,WGI_rule_of_law
0,2005-03-31,15.0,7.5600000000000005,39,,11.25,98.89,4.1,10521.877561643836,3.6,6.9,-8.37,58.44794520547945,-8.66,0.6742328256909921,0.3298296540935164,54177.0,-3562.4767123287675,31,0.69,0.86,1.16,0.91
1,2005-06-30,19.5,6.8,39,,11.0,96.29,4.6,10752.357873972604,3.77,7.2,-8.24,58.59753424657534,-7.75,0.6179245849909146,0.3270810652619257,74555.0,-4172.052054794521,32,0.69,0.86,1.16,0.91
2,2005-09-30,17.5,6.09,40,,10.1,96.44,4.2,10985.3709369863,3.67,7.4,-7.61,58.74876712328767,-7.34,0.6274256544323282,0.35363610347985347,76662.0,-4788.326027397261,32,0.69,0.86,1.16,0.91
3,2005-12-31,26.5,6.24,42,,12.0,93.1,4.9,11218.384,3.27,7.4,-7.79,58.9,-6.97,0.6318331418599951,0.2829985985338508,72503.0,-5404.6,33,0.65,0.77,1.07,0.86
4,2006-03-31,38.0,6.235,40,,10.1058,90.39,4.4,11273.598630136987,2.5,7.3,-8.72,60.37945205479452,-7.31,0.8869373930574816,0.3063170844939647,73314.0,-4183.2136986301375,23,0.65,0.77,1.07,0.86
5,2006-06-30,50.5,6.6,50,,11.3015,88.68,4.1,11329.426756164383,2.63,7.5,-8.79,61.87534246575343,-7.17,0.7711406439068443,0.3079040523868274,77088.0,-2948.2564383561644,30,0.65,0.77,1.07,0.86
6,2006-09-30,42.0,7.95,50,,11.0,90.2,4.0,11385.868378082192,4.13,7.6,-8.79,63.38767123287671,-6.98,0.7176603710990302,0.3395741423034595,80723.0,-1699.7282191780823,26,0.65,0.77,1.07,0.86
7,2006-12-31,20.8,7.995,54,,9.25,98.04,3.6,11442.31,6.4,7.4,-9.37,64.9,-7.01,0.6170530103820807,0.3149960514702467,90109.0,-451.2,27,0.66,0.87,1.21,1.0
8,2007-03-31,22.2,7.79,53,,10.8,102.37,1.7,12051.737726027397,8.53,7.2,-7.43,65.41780821917808,-6.6899999999999995,0.725135878491102,0.34510856079404467,104474.0,-952.882191780822,27,0.66,0.87,1.21,1.0
9,2007-06-30,19.1,7.6,51,,9.0758,102.8,0.3,12667.936871232876,8.63,7.2,-6.01,65.9413698630137,-6.99,0.6552519575659385,0.3464705365767981,110266.0,-1460.1386301369864,27,0.66,0.87,1.21,1.0
10,2007-09-30,31.5,7.34,51,,10.9015,102.16,0.2,13290.907435616438,7.7,7.5,-5.4,66.47068493150685,-6.84,0.6280534337866329,0.3583261065556176,120200.0,-1972.9693150684934,27,0.66,0.87,1.21,1.0
11,2007-12-31,54.8,7.55,53,,12.9018,103.25,-0.3,13913.878,7.07,8.0,-5.01,67.0,-7.07,0.5900694855071197,0.3331551939924906,136255.0,-2485.8,27,0.62,0.71,1.19,0.96
12,2008-03-31,175.6,7.85,53,,14.0019,103.03,1.4,14393.705336065574,6.9,7.5,-3.81,67.17404371584699,-6.86,0.691060015667184,0.363932342736461,147724.0,-2215.6344262295083,27,0.62,0.71,1.19,0.96
13,2008-06-30,133.8,8.85,51,,13.3625,110.44,2.1,14873.532672131149,6.77,7.6,-3.83,67.348087431694,-6.25,0.5968848606595462,0.3723290433762329,153875.0,-1945.4688524590165,27,0.62,0.71,1.19,0.96
14,2008-09-30,165.7,8.95,53,17.9886,15.9175,108.98,1.4,15358.632836065573,6.3,7.9,-3.35,67.524043715847,-6.7,0.6358622305592105,0.3876727214403144,145522.0,-1672.3344262295082,27,0.62,0.71,1.19,0.96
15,2008-12-31,419.0,9.9,54,40.3775,30.115,100.26,-2.3,15843.733,4.27,8.4,-3.59,67.7,-7.04,0.8809589206245317,0.18405025452823487,142394.0,-1399.2,29,0.47,0.71,1.2,0.93
16,2009-03-31,536.2,9.55,53,33.3469,32.44,89.9,-6.9,15148.529356164383,3.0,9.6,-4.15,70.23972602739727,-6.42,1.430304843978803,0.16935433198819164,131329.0,-1257.6657534246576,29,0.47,0.71,1.2,0.93
17,2009-06-30,359.53,9.5,54,24.7453,21.7925,99.49,-7.5,14445.601227397261,3.63,9.9,-4.5600000000000005,72.80767123287671,-5.2,1.1275431507844678,0.17613167964111362,143878.0,-1114.558904109589,30,0.47,0.71,1.2,0.93
18,2009-09-30,214.6,6.8,53,17.9922,17.415,103.77,-7.5,13734.94861369863,5.0,10.6,-5.48,75.40383561643836,-2.93,1.2455605234296496,0.16836403106326792,150179.0,-969.8794520547946,30,0.47,0.71,1.2,0.93
19,2009-12-31,237.84,5.569,51,16.6429,20.475,102.66,-4.2,13024.296,5.17,10.8,-4.54,78.0,-0.8,1.1405550993783897,0.15023755502110087,140808.0,-825.2,31,0.43,0.67,1.08,0.8
20,2010-03-31,184.17,4.766,53,15.6637,14.58,104.31,-0.3,13033.354191780822,6.0,11.4,-4.51,78.81369863013698,-0.15,1.479268248606604,0.16862007484041383,137602.0,-1568.4520547945203,32,0.43,0.67,1.08,0.8
21,2010-06-30,341.93,4.309,53,24.8803,22.195,96.78,0.5,13042.513030136986,5.37,11.2,-5.36,79.63643835616438,-0.05,1.4913637609919304,0.16398945108289767,122132.0,-2319.9624657534246,31,0.43,0.67,1.08,0.8
22,2010-09-30,320.815,4.57,53,18.1547,18.735,96.39,1.1,13051.772515068493,3.83,11.1,-4.86,80.4682191780822,-0.08,1.3371025530381746,0.17495489592206714,131952.0,-3079.731232876712,29,0.43,0.67,1.08,0.8
23,2010-12-31,378.22,4.615,51,17.9675,19.5375,98.09,1.2,13061.032,4.37,11.1,-4.49,81.3,0.28,1.2347378331892525,0.16465852081428795,116791.0,-3839.5,27,0.37,0.67,1.02,0.78
24,2011-03-31,259.4,4.88,53,15.0806,13.485,102.63,2.1,13318.698301369863,4.2,11.1,-4.38,81.17671232876712,0.46,1.5129369522971379,0.18117378500701622,128626.0,-3351.280821917808,23,0.37,0.67,1.02,0.78
25,2011-06-30,269.5,4.41,51,15.3863,15.635,104.61,1.5,13579.227561643835,4.03,11.1,-3.86,81.05205479452054,0.48,1.414895809917954,0.16273608382449248,127938.0,-2857.6369863013697,23,0.37,0.67,1.02,0.78
26,2011-09-30,531.665,4.605,49,22.7985,23.4375,96.71,1.2,13842.619780821919,3.43,11.1,-4.5,80.92602739726027,0.71,1.5836857177491483,0.16877999388659637,112263.0,-2358.568493150685,23,0.37,0.67,1.02,0.78
27,2011-12-31,635.0,4.115,49,23.8756,23.6675,90.77,1.9,14106.012,4.1,11.1,-5.36,80.8,0.74,1.5062900933991137,0.15527392617242866,97457.0,-1859.5,24,0.4,0.67,1.03,0.76
28,2012-03-31,547.5,5.46,50,18.5599,16.7125,96.08,-1.1,13795.718409836067,5.63,11.3,-4.98,80.42704918032787,0.58,1.5757810082728365,0.1855469546174028,97053.0,-2084.538524590164,24,0.4,0.67,1.03,0.76
29,2012-06-30,502.66,5.43,54,18.5857,18.1775,95.45,-1.4,13485.424819672131,5.53,10.9,-4.4,80.05409836065573,1.03,1.420039524761063,0.1770124220817077,91819.0,-2309.577049180328,24,0.4,0.67,1.03,0.76
30,2012-09-30,385.0,4.765,54,15.4178,15.095,98.33,-1.3,13171.721409836066,6.13,10.7,-3.34,79.67704918032787,1.65,1.3356157182599984,0.17657702314731744,91607.0,-2537.0885245901636,24,0.4,0.67,1.03,0.76
31,2012-12-31,278.435,4.495,55,12.3213,13.545,98.02,-2.3,12858.018,5.4,11.0,-2.4,79.3,1.76,1.2564959116822119,0.15581899069788344,87212.0,-2764.6,25,0.36,0.63,0.99,0.62
