quarter,fiveYearCDS,3_Month_Deposit_Rate,EU_Banking_Risk,historical_3_month_volatility,implied_volatility,real_effective_exchange_rate,GDP_YOY,GDP_per_capita,CPI_actual,unemployment,budget_balance,net_debt,current_Account,currency_Reserves,total_reserves_to_import,total_foreign_claims_on_country,foreign_Direct_investment,EIU_political_risk,WGI_control_of_corruption,WGI_govt_effectiveness,WGI_regulatory_quality,WGI_rule_of_law,easeOfDoing_business_rank,starting_a_business_rank
0,2005-03-31,,5.4,48,,5.4,92.0,,678.9104794520548,3.98,9.2,,58.24520547945205,-0.33,-0.33,0.08989679434777531,66559,-3847.775342465753,44,-0.41,-0.16,-0.43,0.04,,
1,2005-06-30,,6.1,48,,4.1,96.2,,701.5527753424658,3.64,9.2,,56.77424657534247,-1.44,-1.44,0.08315023133787289,69111,-4106.190410958904,45,-0.41,-0.16,-0.43,0.04,,
2,2005-09-30,,5.4,48,,3.85,95.83,,724.4438876712329,3.55,9.2,,55.28712328767123,-1.41,-1.41,0.09047908173591233,80426,-4367.445205479452,45,-0.41,-0.16,-0.43,0.04,,
3,2005-12-31,,6.05,50,,5.2,93.25,,747.335,4.71,8.9,,53.8,-1.28,-1.28,0.09630855644158758,81145,-4628.7,46,-0.36,-0.11,-0.29,0.13,,
4,2006-03-31,,7.95,44,,4.5024999999999995,94.59,,769.557602739726,5.0,8.9,,55.32876712328767,-1.18,-1.18,0.09468811277030455,89598,-4964.9301369863015,33,-0.36,-0.11,-0.29,0.13,,
5,2006-06-30,,6.975,46,,5.65,92.33,,792.0271232876713,6.43,8.9,,56.8745205479452,-1.09,-1.09,0.0895492305336498,94099,-5304.896164383562,42,-0.36,-0.11,-0.29,0.13,,
6,2006-09-30,,7.35,44,,4.6,93.23,,814.7435616438356,6.57,8.9,,58.437260273972605,-1.25,-1.25,0.10921767659943558,105527,-5648.598082191781,42,-0.36,-0.11,-0.29,0.13,,
7,2006-12-31,,8.15,44,,5.3,93.93,,837.46,7.02,7.8,,60.0,-1.06,-1.06,0.09724220735864306,117015,-5992.3,39,-0.28,-0.1,-0.28,0.18,,
8,2007-03-31,,10.25,45,,4.8,95.08,,896.4839726027398,7.0,7.8,,59.556164383561644,-1.06,-1.06,0.0946657449661639,133059,-6537.058904109589,39,-0.28,-0.1,-0.28,0.18,,
9,2007-06-30,,8.75,44,,7.25,102.27,,956.1637671232877,6.32,7.8,,59.10739726027398,-1.2,-1.2,0.10034325851127172,153909,-7087.870684931508,39,-0.28,-0.1,-0.28,0.18,,
10,2007-09-30,,7.875,44,6.1277,8.0,101.67,,1016.4993835616439,6.7,7.8,,58.65369863013699,-0.91,-0.91,0.07374989600492521,172831,-7644.735342465754,39,-0.28,-0.1,-0.28,0.18,,
11,2007-12-31,,8.425,45,4.8159,7.0,100.37,,1076.835,5.51,7.8,,58.2,-0.91,-0.91,0.06996138403224114,198377,-8201.6,40,-0.4,0.12,-0.3,0.09,,
12,2008-03-31,,9.05,47,5.2711,8.0,97.39,,1069.848387978142,6.28,7.8,,57.752459016393445,-1.37,-1.37,0.07906551567651258,207450,-12166.837978142077,38,-0.4,0.12,-0.3,0.09,,
13,2008-06-30,,9.05,43,6.795,8.44,94.4,,1062.8617759562842,7.75,7.8,,57.30491803278689,-1.06,-1.06,0.0957134980222799,206845,-16132.075956284154,39,-0.4,0.12,-0.3,0.09,,
14,2008-09-30,,4.6632,44,10.6948,15.53,92.72,,1055.798387978142,9.04,7.8,,56.85245901639344,-1.8,-1.8,0.11217428087986464,204891,-20140.887978142076,39,-0.4,0.12,-0.3,0.09,,
15,2008-12-31,,9.725,51,14.3783,21.99,89.71,,1048.735,10.2,10.4,,56.4,-2.46,-2.46,0.07883371931824153,183333,-24149.7,40,-0.34,-0.02,-0.39,0.09,,
16,2009-03-31,,8.25,52,10.0604,15.1575,86.11,,1074.4905342465754,9.37,10.4,,56.62191780821917,-1.8900000000000001,-1.8900000000000001,0.06861688914563947,179303,-22999.697260273973,42,-0.34,-0.02,-0.39,0.09,,
17,2009-06-30,,4.375,50,9.9029,12.775,89.68,,1100.5322410958904,8.87,10.4,,56.84630136986301,-1.98,-1.98,0.09050911270607409,186498,-21836.916712328766,40,-0.34,-0.02,-0.39,0.09,,
