quarter,fiveYearCDS,Three_Month_Deposit_Rate,EU_Banking_Risk,historical_3_month_volatility,implied_volatility,real_effective_exchange_rate,GDP_YOY,GDP_per_capita,CPI_actual,unemployment,budget_balance,net_debt,current_Account,currency_Reserves,total_reserves_to_importS,total_foreign_claims_on_country,foreign_Direct_investment,EIU_political_risk,WGI_control_of_corruption,WGI_govt_effectiveness,WGI_regulatory_quality,WGI_rule_of_law
0,2005-03-31,250.0,7.58,67,,8.0,78.56,6.52,1311.0691506849314,7.76,10.26,-1.0349315068493152,54.64657534246575,1.46,0.5196289206127803,0.15677056027653752,22806.0,-160.66986301369798,70,-0.93,-0.42,-0.7,-0.77
1,2005-06-30,266.25,8.73,67,,7.5,79.21,3.76,1341.7797808219177,7.65,10.26,-0.8579178082191781,53.075890410958905,1.2,0.47458152118793206,0.144458622170419,26531.0,-1851.8238356164384,69,-0.93,-0.42,-0.7,-0.77
2,2005-09-30,267.5,11.75,67,,10.0,75.28,4.02,1372.8278904109588,8.4,10.26,-0.678958904109589,51.48794520547945,-0.03,0.41691164095371674,0.16775467775467776,24544.0,-3561.5619178082193,69,-0.93,-0.42,-0.7,-0.77
3,2005-12-31,207.75,14.25,65,,10.5,87.54,2.88,1403.876,17.8,11.24,-0.5,49.9,0.08,0.4295145258578068,0.14264687245405994,25869.0,-5271.3,69,-0.88,-0.48,-0.63,-0.82
4,2006-03-31,173.0,12.95,54,,12.25,93.82,4.39,1492.868493150685,16.9,10.45,-0.6726027397260274,47.11369863013699,0.92,0.44415309810374404,0.13051081370170356,28913.0,-4511.132876712329,60,-0.88,-0.48,-0.63,-0.82
5,2006-06-30,219.667,12.63,60,,13.75,90.37,4.6,1582.849791780822,15.51,10.45,-0.8471232876712329,44.29643835616439,1.33,0.43865677257576524,0.14176392641862398,29897.0,-3742.519452054795,68,-0.88,-0.48,-0.63,-0.82
6,2006-09-30,159.2,11.25,58,,8.75,92.94,5.96,1673.8198958904109,14.87,10.28,-1.0235616438356163,41.44821917808219,2.7199999999999998,0.4326327959830867,0.12723600734843846,32615.0,-2965.459726027397,68,-0.88,-0.48,-0.63,-0.82
7,2006-12-31,123.5,9.25,57,,5.5,93.71,6.9,1764.79,6.05,10.28,-1.2,38.6,2.9699999999999998,0.4233114438581045,0.13478870155463105,34020.0,-2188.4,63,-0.84,-0.33,-0.38,-0.72
8,2007-03-31,119.665,7.75,55,,5.85,93.6,5.48,1838.62501369863,6.36,9.75,-1.2690410958904108,37.465753424657535,2.7800000000000002,0.45341297952734344,0.12439860737042632,38355.0,-2204.4027397260274,63,-0.84,-0.33,-0.38,-0.72
9,2007-06-30,110.26,7.75,55,,8.8,94.45,7.14,1913.280416438356,6.02,9.75,-1.338849315068493,36.31890410958904,2.73,0.4636315223221557,0.1213212970084605,43746.0,-2220.583287671233,63,-0.84,-0.33,-0.38,-0.72
10,2007-09-30,141.264,7.63,55,,6.75,90.5,7.25,1988.756208219178,6.5,9.11,-1.4094246575342466,35.15945205479452,2.2,0.45384113979259627,0.13113882481723288,46099.0,-2236.9416438356166,63,-0.84,-0.33,-0.38,-0.72
11,2007-12-31,152.83,8.5,52,,7.1,88.35,5.61,2064.232,6.73,9.11,-1.48,34.0,2.44,0.49872526761873864,0.12900738504074505,46716.0,-2253.3,64,-0.62,-0.28,-0.34,-0.68
12,2008-03-31,245.033,8.05,51,,8.0,88.21,6.42,2152.201401639344,7.64,8.46,-1.131912568306011,32.831420765027325,2.3,0.43441006061929327,0.1702363271626663,50402.0,-2543.057923497268,60,-0.62,-0.28,-0.34,-0.68
