quarter,fiveYearCDS,Three_Month_Deposit_Rate,EU_Banking_Risk,historical_3_month_volatility,implied_volatility,real_effective_exchange_rate,GDP_YOY,GDP_per_capita,CPI_actual,unemployment,budget_balance,net_debt,current_Account,currency_Reserves,total_reserves_to_importS,total_foreign_claims_on_country,foreign_Direct_investment,EIU_political_risk,WGI_control_of_corruption,WGI_govt_effectiveness,WGI_regulatory_quality,WGI_rule_of_law
0,2005-03-31,35.0,2.7800000000000002,41,,,90.23,,5276.860506849315,2.4699999999999998,,-4.127397260273972,45.5972602739726,13.31,2.1513553240923673,0.1332307821158866,69946.0,-2175.97397260274,39,0.34,1.09,0.47,0.52
1,2005-06-30,30.333,2.8,43,,,93.35,,5383.475608219178,3.0,,-3.952876712328767,45.79671232876712,14.06,2.146049906302397,0.12899258443268224,75452.0,-1784.7487671232877,39,0.34,1.09,0.47,0.52
2,2005-09-30,26.286,2.7,42,,,94.07,,5491.262304109589,3.37,,-3.7764383561643835,45.998356164383566,14.18,2.118267560817294,0.1322331437753424,79369.0,-1389.224383561644,39,0.34,1.09,0.47,0.52
3,2005-12-31,26.25,3.15,41,,,95.58,,5599.049,3.43,,-3.6,46.2,14.42,1.8399570095542066,0.15029245039938158,72680.0,-993.7,39,0.2,1.09,0.64,0.5
4,2006-03-31,28.286,3.15,36,,2.25,97.11,,5763.112835616438,3.73,,-3.526027397260274,45.23835616438356,13.66,1.904834266327996,0.1524249969218983,77627.0,-761.7712328767124,35,0.2,1.09,0.64,0.5
5,2006-06-30,33.214,3.85,41,,4.3,96.43,,5928.999602739726,4.13,,-3.4512328767123286,44.266027397260274,13.4,1.9629063340620128,0.14099462022895898,80412.0,-527.2654794520548,42,0.2,1.09,0.64,0.5
6,2006-09-30,26.156,3.69,40,,4.1,95.75,,6096.709301369863,3.57,,-3.375616438356164,43.283013698630135,14.63,1.8826409433597524,0.14740485477335555,83668.0,-290.1827397260274,39,0.2,1.09,0.64,0.5
7,2006-12-31,17.25,3.62,41,,5.05,97.51,,6264.419,3.07,,-3.3,42.3,16.09,1.8882088713619922,0.14031242390298543,84636.0,-53.1,39,0.23,1.27,0.55,0.47
8,2007-03-31,17.055,3.58,37,,3.45,98.48,,6539.144863013698,2.6,,-3.2753424657534245,42.12739726027397,15.66,2.031539642878543,0.13782828454538243,91995.0,636.6452054794522,39,0.23,1.27,0.55,0.47
9,2007-06-30,16.225,3.58,36,5.8327,4.0,98.63,,6816.923235616438,1.43,,-3.2504109589041095,41.95287671232877,16.22,2.118817901234568,0.11954594120586105,97747.0,1334.0542465753424,39,0.23,1.27,0.55,0.47
10,2007-09-30,24.498,3.56,36,6.7094000000000005,4.875,95.81,,7097.754117808219,1.77,,-3.225205479452055,41.776438356164384,16.09,1.941340485676894,0.1255031815906932,95246.0,2039.127123287671,37,0.23,1.27,0.55,0.47
11,2007-12-31,41.993,3.57,34,7.4938,6.0,97.15,,7378.585,2.2,,-3.2,41.6,15.36,1.8248113599170848,0.13286223383719895,104246.0,2744.2,38,0.19,1.24,0.51,0.44
12,2008-03-31,98.5,3.57,35,6.8092,7.4375,97.25,,7693.848035519126,2.6,,-3.5978142076502735,41.20218579234973,15.25,2.1025556481268044,0.11426398139426323,116179.0,4008.0806010928964,38,0.19,1.24,0.51,0.44
13,2008-06-30,111.914,3.63,35,6.6688,6.745,99.07,,8009.111071038252,4.83,,-3.9956284153005464,40.80437158469945,16.53,2.1017245322298628,0.1111615396875996,118616.0,5271.961202185792,37,0.19,1.24,0.51,0.44
14,2008-09-30,168.325,3.58,36,7.4234,9.835,97.52,,8327.838535519126,8.4,,-4.397814207650273,40.40218579234973,17.12,1.83161294327277,0.12627341337280487,104622.0,6549.730601092896,35,0.19,1.24,0.51,0.44
15,2008-12-31,230.058,3.34,44,8.3763,13.4575,96.36,,8646.566,5.9,,-4.8,40.0,17.07,1.6872596105081654,0.10666183940580808,98811.0,7827.5,35,-0.05,1.11,0.32,0.34
16,2009-03-31,240.85,2.07,43,7.4022,10.98,95.49,,8348.917260273973,3.7,,-5.2684931506849315,43.27945205479452,17.96,1.9291384024438194,0.0962536313104742,94617.0,7531.264383561644,35,-0.05,1.11,0.32,0.34
17,2009-06-30,108.452,2.15,41,9.0659,9.0625,95.02,,8047.961312328767,1.33,,-5.742191780821917,46.595342465753426,17.02,1.8892752305789504,0.11227406367246637,100605.0,7231.737260273972,37,-0.05,1.11,0.32,0.34
18,2009-09-30,83.687,2.18,37,5.5439,6.995,93.59,,7743.698156164384,-2.27,,-6.221095890410959,49.94767123287671,15.74,1.7956557291837651,0.11472102098934712,102599.0,6928.918630136986,37,-0.05,1.11,0.32,0.34
19,2009-12-31,88.372,2.09,36,6.6624,8.2675,94.75,,7439.435,-0.17,,-6.7,53.3,15.53,1.677031930497574,0.130634587978875,103545.0,6626.1,35,-0.06,0.98,0.3,0.46
20,2010-03-31,79.597,2.48,34,6.9279,6.84,97.57,,7804.624424657534,1.27,3.5,-6.379452054794521,53.25068493150685,15.14,1.5601677670989067,0.14436464793676795,111541.0,6092.9301369863015,31,-0.06,0.98,0.3,0.46
21,2010-06-30,103.746,2.74,32,12.022,11.99,101.61,,8173.871509589041,1.6,3.6,-6.055342465753425,53.20082191780822,12.83,1.5151512123066428,0.15346933090480527,108289.0,5553.8361643835615,31,-0.06,0.98,0.3,0.46
22,2010-09-30,80.145,2.93,32,6.1815,8.125,102.77,,8547.17625479452,1.9300000000000002,3.0,-5.7276712328767125,53.15041095890411,11.53,1.4763593801214694,0.14118008164911044,122492.0,5008.818082191781,31,-0.06,0.98,0.3,0.46
23,2010-12-31,74.507,2.96,31,6.31,8.42,100.44,,8920.481,2.07,3.1,-5.4,53.1,10.61,1.4742267094281796,0.14469776133633347,125425.0,4463.8,31,0.09,1.12,0.59,0.48
24,2011-03-31,75.003,3.1,32,4.0131,6.5,101.14,5.0,9257.648616438357,2.77,3.0,-5.252054794520548,52.77945205479452,9.85,1.5543920388643049,0.1488212480273892,139373.0,4100.1506849315065,31,0.09,1.12,0.59,0.48
25,2011-06-30,90.683,3.19,32,6.7422,7.855,99.7,4.6,9598.562539726026,3.33,3.2,-5.102465753424657,52.455342465753425,10.75,1.7867436406239539,0.12545297507694164,145480.0,3732.460821917808,31,0.09,1.12,0.59,0.48
26,2011-09-30,196.848,3.3,31,8.3636,13.0025,98.65,6.0,9943.222769863014,3.37,3.3,-4.951232876712329,52.12767123287671,11.4,1.7792561869150798,0.1233683272642752,140164.0,3360.730410958904,31,0.09,1.12,0.59,0.48
27,2011-12-31,142.742,3.27,32,9.7537,9.46,98.16,5.5,10287.883,3.23,3.1,-4.8,51.8,11.23,1.7537820160053772,0.12599575049324632,144334.0,2989.0,32,0.03,1.02,0.58,0.48
28,2012-03-31,100.257,3.23,32,6.9277999999999995,7.5,100.52,5.1,10371.660434426229,2.33,2.9,-4.675683060109289,52.17295081967213,10.08,1.7446412741108972,0.1260639705717426,151784.0,4235.177868852459,31,0.03,1.02,0.58,0.48
29,2012-06-30,124.421,3.21,31,6.8031,7.4,98.23,5.2,10455.43786885246,1.73,3.0,-4.551366120218579,52.54590163934426,8.11,1.7554180170028424,0.12304160623640319,153174.0,5481.355737704918,32,0.03,1.02,0.58,0.48
30,2012-09-30,95.266,3.21,29,5.8649000000000004,7.3,99.16,5.0,10540.13593442623,1.37,3.2,-4.425683060109289,52.92295081967213,5.91,1.6888417596848326,0.12762930843441134,162657.0,6741.227868852459,31,0.03,1.02,0.58,0.48
31,2012-12-31,70.404,3.17,30,4.0455,5.2,99.81,6.5,10624.834,1.27,3.3,-4.3,53.3,5.61,1.6754218820207962,0.11651236718341752,163547.0,8001.1,32,0.24,0.92,0.57,0.47
32,2013-03-31,86.039,3.22,28,5.9795,7.1425,100.01,4.3,10656.844657534248,1.47,3.3,-4.176712328767123,53.62054794520548,5.23,1.7626551750374224,0.12878285988010044,166270.0,6548.968493150685,33,0.24,0.92,0.57,0.47
33,2013-06-30,118.565,3.19,30,10.385,9.04,99.98,4.6,10689.210989041097,1.77,2.8,-4.052054794520548,53.94465753424657,4.58,1.7369004982636267,0.12385365310365311,170223.0,5080.7021917808215,32,0.24,0.92,0.57,0.47
34,2013-09-30,104.825,3.2,31,9.1908,10.13,97.44,4.9,10721.932994520548,2.17,3.1,-3.926027397260274,54.27232876712329,4.6899999999999995,1.7034167573428336,0.12453056113338125,170094.0,3596.301095890411,30,0.24,0.92,0.57,0.47
35,2013-12-31,109.444,3.46,31,7.6263,8.3025,98.26,5.0,10754.655,2.9699999999999998,3.0,-3.8,54.6,3.92,1.598347657632622,0.129514852672282,172149.0,2111.9,29,0.35,1.0,0.64,0.44
36,2014-03-31,101.825,3.34,31,5.2886,7.085,97.84,6.3,10833.396369863014,3.4699999999999998,3.0,-3.7013698630136984,54.13150684931507,4.46,1.5798489715508135,0.1312912322679884,174814.0,2932.6260273972603,29,0.35,1.0,0.64,0.44
37,2014-06-30,84.836,3.58,32,5.7445,5.235,99.35,6.5,10913.012643835616,3.3,2.8,-3.6016438356164384,53.65780821917809,5.67,1.5370227008213122,0.13616547524084185,183224.0,3762.4712328767123,29,0.35,1.0,0.64,0.44
38,2014-09-30,89.998,3.73,31,5.4191,7.97,101.0,5.6,10993.50382191781,3.03,2.7,-3.500821917808219,53.17890410958904,5.34,1.4814159103464604,0.1362409043246163,184891.0,4601.435616438356,29,0.35,1.0,0.64,0.44
39,2014-12-31,112.995,3.85,31,9.84,8.55,98.42,5.7,11073.995,2.83,3.0,-3.4,52.7,4.44,1.3849079784880827,0.14676517822853752,170568.0,5440.4,29,0.41,1.12,0.84,0.59
40,2015-03-31,132.487,3.7199999999999998,31,9.4871,10.425,94.9,5.9,10729.570671232877,0.67,3.0,-3.350684931506849,53.14383561643836,3.52,1.383027823390878,0.15369931438820478,164086.0,4267.7863013698625,29,0.41,1.12,0.84,0.59
41,2015-06-30,137.835,3.69,33,8.7561,10.1175,94.41,5.0,10381.319405479453,2.13,3.1,-3.300821917808219,53.592602739726026,2.74,1.3844157664897327,0.14473567922226385,162264.0,3082.1435616438357,29,0.41,1.12,0.84,0.59
42,2015-09-30,238.823,3.73,33,13.0243,16.175,84.49,4.8,10029.241202739726,3.0,3.2,-3.25041095890411,54.046301369863016,2.48,1.3814457232459465,0.15257420469736657,145498.0,1883.4717808219177,29,0.41,1.12,0.84,0.59
43,2015-12-31,180.219,3.88,35,14.9286,12.465,86.45,4.7,9677.163,2.6,3.4,-3.2,54.5,2.87,1.3259279619280417,0.14932442354142947,144657.0,684.8,29,0.24,0.95,0.75,0.5
44,2016-03-31,152.999,3.68,35,12.9096,12.76,88.61,4.1,9612.003270491803,3.43,3.5,-3.1751366120218583,54.05245901639344,2.41,1.2814178438610602,0.14421491925361896,163220.0,-324.0568306010932,29,0.24,0.95,0.75,0.5
45,2016-06-30,154.51,3.63,35,10.7696,12.215,88.08,4.0,9546.843540983607,1.9,3.4,-3.150273224043716,53.604918032786884,1.9,1.2884565863316813,0.14669138178053398,162824.0,-1332.913661202186,29,0.24,0.95,0.75,0.5
46,2016-09-30,120.838,3.38,34,7.7992,10.365,86.9,4.3,9480.967770491803,1.37,3.5,-3.125136612021858,53.15245901639344,1.94,1.2745492354955583,0.16969866233955355,152893.0,-2352.856830601093,29,0.24,0.95,0.75,0.5
47,2016-12-31,138.382,3.42,34,5.5313,13.17,84.82,4.5,9415.092,1.67,3.5,-3.1,52.7,2.06,1.269449176380452,0.19242457452294998,142960.0,-3372.8,32,0.1,0.87,0.71,0.5
48,2017-03-31,105.208,3.42,34,2.7186,6.53,85.35,5.6,9498.94882191781,4.27,3.4,-3.0753424657534247,53.06986301369863,2.03,1.2800091026166363,0.18582185579309538,148216.0,-3466.5972602739726,32,0.1,0.87,0.71,0.5
49,2017-06-30,85.45,3.41,33,3.4664,6.435,86.28,5.8,9583.73738630137,3.9699999999999998,3.4,-3.0504109589041097,53.443835616438356,2.58,1.267766659086016,0.15174918372795038,151280.0,-3561.436712328767,32,0.1,0.87,0.71,0.5
50,2017-09-30,68.993,3.42,33,2.6946,6.2625,86.16,6.2,9669.457693150685,3.73,3.4,-3.0252054794520546,53.82191780821918,3.01,1.226045111192742,0.18434641670764632,151799.0,-3657.3183561643837,32,0.1,0.87,0.71,0.5
51,2017-12-31,58.373,3.43,33,3.6023,6.135,89.56,5.9,9755.178,3.5300000000000002,3.3,-3.0,54.2,3.06,1.1466081672092558,0.20559061440551954,150464.0,-3753.2,32,0.03,0.84,0.68,0.41
52,2018-03-31,73.095,3.67,33,5.4974,6.28,90.58,5.4,9989.03695890411,1.8,3.3,,54.2,3.7199999999999998,1.195919493167731,0.1948230088495575,166463.0,,32,0.03,0.84,0.68,0.41
53,2018-06-30,107.555,3.67,33,3.5869999999999997,6.15,89.77,4.5,10225.49435068493,1.33,3.4,,54.2,3.26,1.1941143194581005,0.1973266568425951,,,32,0.03,0.84,0.68,0.41
54,2018-09-30,92.566,3.67,33,3.1394,5.755,90.41,4.5,10464.550175342465,1.33,3.4,,54.2,3.26,,,,,32,0.03,0.84,0.68,0.41
