quarter,fiveYearCDS,Three_Month_Deposit_Rate,EU_Banking_Risk,historical_3_month_volatility,implied_volatility,real_effective_exchange_rate,GDP_YOY,GDP_per_capita,CPI_actual,unemployment,budget_balance,net_debt,current_Account,currency_Reserves,total_reserves_to_importS,total_foreign_claims_on_country,foreign_Direct_investment,EIU_political_risk,WGI_control_of_corruption,WGI_govt_effectiveness,WGI_regulatory_quality,WGI_rule_of_law
0,2005-03-31,104.9,,40,,7.825,107.21,0.77,5276.860506849315,4.4,3.63,-0.45,21.995890410958904,-1.0,0.07702528963780257,0.2892244044087801,121598.0,-20252.343835616437,45,-0.3,0.12,0.43,-0.37
1,2005-06-30,92.947,,40,,6.375,111.2,2.71,5383.475608219178,4.51,3.74,-0.39,20.475068493150683,-1.13,0.0748459650541358,0.2962992174032433,240992.0,-20018.012602739727,45,-0.3,0.12,0.43,-0.37
2,2005-09-30,66.25,,39,,6.975,110.41,2.56,5491.262304109589,3.98,3.34,0.03,18.937534246575343,-1.09,0.07808251408517358,0.28176276276276274,243456.0,-19781.106301369862,45,-0.3,0.12,0.43,-0.37
3,2005-12-31,62.694,,39,,7.125,115.03,3.13,5599.049,3.1,3.17,-0.11,17.4,-0.88,0.07936161688185596,0.2940664920193372,257943.0,-19544.2,45,-0.27,0.07,0.19,-0.35
4,2006-03-31,68.568,,34,,8.45,112.74,5.64,5763.112835616438,3.7,3.34,0.14,18.854794520547944,-0.59,0.08046278149254389,0.29416095011125887,256622.0,-18504.02191780822,35,-0.27,0.07,0.19,-0.35
5,2006-06-30,80.416,,39,,10.9,104.06,4.22,5928.999602739726,3.13,3.51,0.32,20.325753424657535,-0.5,0.09097623004923738,0.26978909913518867,264080.0,-17452.286301369862,42,-0.27,0.07,0.19,-0.35
6,2006-09-30,56.688,,38,,7.6,109.48,4.74,6096.709301369863,3.54,3.73,0.27,21.812876712328766,-0.46,0.08507054005875744,0.2788138865571412,272037.0,-16388.99315068493,42,-0.27,0.07,0.19,-0.35
7,2006-12-31,40.5,,36,,7.1,111.63,3.46,6264.419,4.14,3.79,0.09,23.3,-0.38,0.07559881691186003,0.29510482358956874,289689.0,-15325.7,43,-0.26,0.09,0.38,-0.43
8,2007-03-31,41.258,,38,,7.25,108.59,2.03,6539.144863013698,4.1,3.8,0.58,23.176712328767124,-0.73,0.07538473050004907,0.30807517189500216,282194.0,-17159.5301369863,42,-0.26,0.09,0.38,-0.43
9,2007-06-30,35.599,,38,5.255,6.7,108.67,1.99,6816.923235616438,3.9699999999999998,3.54,0.35,23.052054794520547,-0.94,0.07417673335844129,0.3207258810233227,302803.0,-19013.73616438356,39,-0.26,0.09,0.38,-0.43
10,2007-09-30,48.901,,35,6.14,6.501,106.9,2.41,7097.754117808219,3.99,3.5,0.08,22.926027397260274,-0.94,0.07741902491051506,0.3066495674424272,309905.0,-20888.31808219178,39,-0.26,0.09,0.38,-0.43
11,2007-12-31,69.498,,35,4.902,6.175,107.85,2.73,7378.585,3.81,3.52,0.04,22.8,-0.96,0.07988217967188,0.2891097360777876,328417.0,-22762.9,39,-0.27,0.17,0.39,-0.49
12,2008-03-31,130.099,,36,4.973,5.9,106.71,1.18,7693.848035519126,3.89,3.76,0.03,26.03224043715847,-0.85,0.07937279475814753,0.27666044243316273,332649.0,-24312.162568306012,39,-0.27,0.17,0.39,-0.49
13,2008-06-30,115.399,,36,4.555,5.9030000000000005,109.51,2.62,8009.111071038252,4.92,3.61,-0.18,29.264480874316938,-0.82,0.0777124156208436,0.29422692590109506,353062.0,-25861.425136612022,39,-0.27,0.17,0.39,-0.49
14,2008-09-30,144.32,,35,9.715,10.235,110.25,1.33,8327.838535519126,5.48,3.86,0.05,32.53224043715847,-1.11,0.08637507774374747,0.29986541090688135,347060.0,-27427.71256830601,39,-0.27,0.17,0.39,-0.49
15,2008-12-31,292.604,,39,45.884,30.78,94.26,-0.53,8646.566,6.18,4.53,-0.06,35.8,-1.6400000000000001,0.10632660454147795,0.2307508988078969,287218.0,-28994.0,39,-0.24,0.19,0.34,-0.67
16,2009-03-31,380.4,,36,20.748,18.865,87.63,-5.57,8348.917260273973,6.17,4.96,-1.2,36.61369863013699,-1.51,0.1016643824959737,0.2297896362508921,292676.0,-23889.150684931505,39,-0.24,0.19,0.34,-0.67
17,2009-06-30,207.165,,37,21.813,14.413,93.25,-8.93,8047.961312328767,5.96,5.29,-1.56,37.43643835616438,-1.3900000000000001,0.08986661232311952,0.2549813494848026,307566.0,-18727.580821917807,39,-0.24,0.19,0.34,-0.67
18,2009-09-30,157.335,,39,11.789,15.37,92.21,-4.99,7743.698156164384,5.14,5.98,-2.25,38.26821917808219,-1.53,0.09664401768463517,0.26388210290572117,294897.0,-13509.290410958904,39,-0.24,0.19,0.34,-0.67
19,2009-12-31,133.782,,36,12.809,15.485,96.57,-1.6,7439.435,3.98,5.29,-2.27,39.1,-0.88,0.10318884134431748,0.2463576298587193,306022.0,-8291.0,39,-0.3,0.18,0.22,-0.56
20,2010-03-31,116.229,,36,10.029,10.26,101.1,4.51,7804.624424657534,4.75,5.15,-1.8199999999999998,38.557534246575344,-0.66,0.09647446055490007,0.26862653361365274,328228.0,-9439.967123287672,39,-0.3,0.18,0.22,-0.56
21,2010-06-30,137.53,,36,16.135,14.065,100.21,7.03,8173.871509589041,3.96,5.14,-2.22,38.00904109589041,-0.58,0.10280940386112172,0.2548247914410049,314350.0,-10601.700547945205,39,-0.3,0.18,0.22,-0.56
22,2010-09-30,122.046,4.348,36,9.769,12.295,98.2,4.84,8547.17625479452,3.67,5.28,-2.54,37.45452054794521,-0.15,0.105959722442709,0.2415334268349696,329994.0,-11776.200273972603,39,-0.3,0.18,0.22,-0.56
23,2010-12-31,113.556,4.348,34,9.56,11.75,102.01,4.14,8920.481,4.25,5.51,-2.79,36.9,-0.48,0.10780439774744861,0.2385280006651977,340458.0,-12950.7,39,-0.36,0.16,0.25,-0.55
24,2011-03-31,105.356,4.348,36,8.732,9.935,103.27,3.7,9257.648616438357,3.46,5.11,-2.74,36.53013698630137,-0.67,0.10446273728361276,0.2559934479271992,365685.0,-12713.642465753424,40,-0.36,0.16,0.25,-0.55
25,2011-06-30,107.491,4.85,33,8.286,9.89,102.4,2.76,9598.562539726026,3.3,5.55,-2.7800000000000002,36.156164383561645,-0.88,0.10474149047071048,0.2491227634194831,381987.0,-12473.95095890411,40,-0.36,0.16,0.25,-0.55
26,2011-09-30,197.315,4.77,33,18.487,24.237,93.71,4.05,9943.222769863014,3.37,5.07,-2.57,35.77808219178082,-1.3,0.12737352504233795,0.23922793846516913,331375.0,-12231.625479452054,42,-0.36,0.16,0.25,-0.55
27,2011-12-31,153.533,4.8149999999999995,36,16.49,16.653,92.09,4.13,10287.883,3.5,5.02,-2.38,35.4,-1.11,0.13192930092076294,0.21414102270280783,334927.0,-11989.3,42,-0.4,0.31,0.28,-0.55
28,2012-03-31,117.675,4.77,36,11.276,12.433,98.58,4.8100000000000005,10371.660434426229,3.88,5.02,-2.73,35.499453551912566,-1.26,0.1233326748240595,0.2184869174079801,357404.0,-8727.298087431693,43,-0.4,0.31,0.28,-0.55
29,2012-06-30,140.424,4.75,37,12.659,14.243,91.17,3.99,10455.43786885246,3.87,4.82,-2.45,35.598907103825134,-1.21,0.13269672732929982,0.20087388580679424,350272.0,-5465.296174863388,44,-0.4,0.31,0.28,-0.55
30,2012-09-30,101.165,4.82,38,10.667,10.773,97.67,2.75,10540.13593442623,4.59,4.59,-2.2800000000000002,35.69945355191257,-1.09,0.12805633011738754,0.19416685073807374,364644.0,-2167.4480874316937,45,-0.4,0.31,0.28,-0.55
31,2012-12-31,97.818,4.838,36,8.077,10.5,99.73,3.1,10624.834,4.12,4.89,-2.58,35.8,-1.53,0.12845170722872923,0.192737059963968,369432.0,1130.4,43,-0.41,0.34,0.48,-0.53
32,2013-03-31,97.166,4.34,37,8.413,9.163,103.96,0.64,10656.844657534248,3.68,4.98,-2.0,36.26849315068493,-1.79,0.12613508413757513,0.1933477251089995,376347.0,-7475.375342465752,42,-0.41,0.34,0.48,-0.53
33,2013-06-30,131.493,4.32,37,12.633,14.538,100.19,2.09,10689.210989041097,4.46,5.03,-2.13,36.74219178082192,-2.36,0.13116679488403493,0.19458432072517712,357568.0,-16176.770410958907,42,-0.41,0.34,0.48,-0.53
34,2013-09-30,123.323,3.9,36,12.536,13.823,99.31,1.46,10721.932994520548,3.44,4.96,-2.61,37.22109589041096,-2.48,0.13611463870738683,0.19142794018876597,358800.0,-24973.785205479457,42,-0.41,0.34,0.48,-0.53
35,2013-12-31,91.51,3.785,36,10.685,11.675,101.82,1.21,10754.655,3.65,4.74,-2.33,37.7,-2.4699999999999998,0.13773819827300762,0.1836255643212185,369701.0,-33770.8,42,-0.51,0.35,0.47,-0.54
36,2014-03-31,87.498,3.81,36,9.323,9.33,101.14,2.64,10833.396369863014,4.16,5.34,-2.91,38.78493150684932,-2.48,0.13862272986777252,0.18941187232839346,381225.0,-31194.3095890411,42,-0.51,0.35,0.47,-0.54
37,2014-06-30,67.063,3.303,36,5.878,6.95,101.59,2.29,10913.012643835616,3.59,4.83,-3.26,39.88191780821918,-2.37,0.13989186346688054,0.1865309837500801,380749.0,-28589.191506849318,42,-0.51,0.35,0.47,-0.54
38,2014-09-30,87.127,3.303,36,5.947,9.69,101.57,2.83,10993.50382191781,4.15,4.76,-3.5,40.99095890410959,-2.12,0.14337009358423314,0.18900751129877572,377803.0,-25955.445753424658,42,-0.51,0.35,0.47,-0.54
39,2014-12-31,103.487,3.335,36,9.534,10.508,97.27,3.43,11073.995,4.18,4.14,-3.14,42.1,-1.8900000000000001,0.15768935509189136,0.18782996286461032,359781.0,-23321.7,42,-0.76,0.2,0.43,-0.42
40,2015-03-31,125.609,3.338,36,11.499,12.74,94.71,3.48,10729.570671232877,3.07,4.3,-3.32,43.18493150684932,-2.01,0.1628645668659551,0.18480449733805646,359843.0,-23554.590410958906,42,-0.76,0.2,0.43,-0.42
