quarter,fiveYearCDS,Three_Month_Deposit_Rate,EU_Banking_Risk,historical_3_month_volatility,implied_volatility,real_effective_exchange_rate,GDP_YOY,GDP_per_capita,CPI_actual,unemployment,budget_balance,net_debt,current_Account,currency_Reserves,total_reserves_to_import,total_foreign_claims_on_country,foreign_Direct_investment,EIU_political_risk,WGI_control_of_corruption,WGI_govt_effectiveness,WGI_regulatory_quality,WGI_rule_of_law
0,2005-03-31,256.998,3.737863,45,,,96.13,5.6,2495.028342465753,2.2,10.4,-0.83,42.5958904109589,0.41,0.41,0.07737402694439574,7273,-1840.5698630136985,64,-0.32,-0.51,0.21,-0.49
1,2005-06-30,191.805,3.7992660000000003,46,,,96.85,5.4,2561.451610958904,1.77,9.1,-0.83,41.07506849315069,0.79,0.79,0.07966172634662959,12564,-2084.8238356164384,65,-0.32,-0.51,0.21,-0.49
2,2005-09-30,128.899,3.8,46,,,92.87,6.5,2628.604805479452,1.24,9.3,-0.83,39.53753424657534,0.99,0.99,0.07972290570465988,12765,-2331.761917808219,65,-0.32,-0.51,0.21,-0.49
3,2005-12-31,221.371,4.05,43,,,90.75,7.6,2695.758,1.28,7.6,-0.83,38.0,1.55,1.55,0.08359265849963969,13540,-2578.7,65,-0.33,-0.61,0.03,-0.68
4,2006-03-31,219.05,6.75,34,,,92.49,8.3,2800.839287671233,2.37,9.0,-0.83,36.66849315068493,1.07,1.07,0.09623740282176793,9513,-2797.6095890410957,57,-0.33,-0.61,0.03,-0.68
5,2006-06-30,172.539,6.23,40,,,93.63,6.3,2907.088145205479,2.32,8.9,-0.83,35.32219178082192,1.49,1.49,0.09768656122766291,12652,-3018.951506849315,62,-0.33,-0.61,0.03,-0.68
6,2006-09-30,133.945,5.55,36,,,92.67,8.3,3014.5045726027397,1.8,8.5,-0.83,33.96109589041096,2.57,2.57,0.08622540495392494,13497,-3242.7257534246573,57,-0.33,-0.61,0.03,-0.68
7,2006-12-31,90.857,5.55,38,,,91.73,7.3,3121.921,1.52,7.4,-0.83,32.6,3.31,3.31,0.08868961890362331,14091,-3466.5,51,-0.2,-0.67,0.13,-0.69
8,2007-03-31,82.533,5.48,38,,3.98,91.49,5.3,3236.794780821918,0.42,9.8,-0.83,31.76164383561644,3.4,3.4,0.08411773956215529,14442,-3949.516438356164,50,-0.2,-0.67,0.13,-0.69
9,2007-06-30,72.483,5.46,38,,4.06,89.99,6.3,3352.9449369863014,0.8,8.3,-0.83,30.913972602739726,3.09,3.09,0.07770303722745882,16952,-4437.899726027397,50,-0.2,-0.67,0.13,-0.69
10,2007-09-30,90.149,5.68,40,3.7329,4.75,90.46,10.8,3470.3714684931506,2.4,8.2,-0.83,30.056986301369864,2.06,2.06,0.07646800060328791,18103,-4931.649863013698,50,-0.2,-0.67,0.13,-0.69
11,2007-12-31,115.566,5.72,39,6.0551,5.98,92.34,11.4,3587.798,3.5,7.5,-0.83,29.2,1.49,1.49,0.07170852493809692,21769,-5425.4,50,-0.25,-0.52,0.28,-0.73
12,2008-03-31,158.396,5.66,37,7.9292,9.5,94.78,9.9,3746.862519125683,4.84,9.3,-0.83,27.907103825136613,0.47,0.47,0.07429114079156966,25421,-5614.983333333333,48,-0.25,-0.52,0.28,-0.73
13,2008-06-30,124.109,6.72,37,14.7905,11.86,91.37,10.5,3905.927038251366,5.54,7.9,-0.83,26.614207650273222,-1.38,-1.38,0.08466905291112202,26708,-5804.566666666667,46,-0.25,-0.52,0.28,-0.73
14,2008-09-30,178.701,7.312048,37,10.7738,12.41,93.72,9.6,4066.739519125683,6.09,8.5,-0.83,25.30710382513661,-2.92,-2.92,0.0778910014324782,28062,-5996.233333333333,46,-0.25,-0.52,0.28,-0.73
15,2008-12-31,304.175,7.425653,43,18.4324,17.53,97.89,6.6,4227.552,6.65,7.8,-0.83,24.0,-4.37,-4.37,0.07153262970120411,27672,-6187.9,46,-0.19,-0.36,0.35,-0.7
16,2009-03-31,366.341,6.457831,42,11.8743,16.26,97.43,3.2,4212.323260273973,5.6,9.3,-0.83,24.246575342465754,-4.12,-4.12,0.06232874428035912,27723,-6146.475342465753,46,-0.19,-0.36,0.35,-0.7
17,2009-06-30,177.668,3.297562,41,9.7703,12.7275,97.04,-0.9,4196.925312328767,3.9699999999999998,8.5,-0.83,24.495890410958904,-2.86,-2.86,0.06205292928344627,25983,-6104.590410958904,44,-0.19,-0.36,0.35,-0.7
18,2009-09-30,134.06,1.6389420000000001,41,6.0104,11.7425,97.04,0.4,4181.358156164383,1.92,7.8,-0.83,24.747945205479454,-1.6600000000000001,-1.6600000000000001,0.06486962060335454,26226,-6062.245205479452,44,-0.19,-0.36,0.35,-0.7
19,2009-12-31,123.52,1.600317,41,5.1356,10.7,96.61,1.9,4165.791,0.42,7.9,-0.83,25.0,-0.52,-0.52,0.07196635074939242,26788,-6019.9,42,-0.31,-0.42,0.39,-0.61
20,2010-03-31,127.834,1.611775,38,4.6539,6.135,99.99,5.9,4384.127794520548,0.68,9.2,-0.83,24.605479452054794,-0.73,-0.73,0.07703892418330162,28682,-6554.672602739725,44,-0.31,-0.42,0.39,-0.61
21,2010-06-30,136.517,2.360146,38,2.6561,6.015,102.43,9.5,4604.890553424658,1.15,7.6,-0.83,24.206575342465754,-1.01,-1.01,0.07455786306597197,28782,-7095.387123287671,45,-0.31,-0.42,0.39,-0.61
22,2010-09-30,120.521,3.856801,36,2.3524,4.945,100.81,9.0,4828.0792767123285,2.17,7.6,-0.83,23.803287671232876,-1.8,-1.8,0.0731250121673448,32293,-7642.043561643835,45,-0.31,-0.42,0.39,-0.61
23,2010-12-31,113.008,3.625842,36,2.6315,5.2275,97.81,8.8,5051.268,2.13,7.2,-0.83,23.4,-2.42,-2.42,0.0700822314815032,35316,-8188.7,46,-0.23,-0.19,0.45,-0.56
24,2011-03-31,137.752,4.313782,36,3.5202999999999998,6.095,97.02,7.8,5219.426712328767,2.35,9.4,-0.83,22.53698630136986,-2.52,-2.52,0.06948151531230201,37559,-7943.406849315068,48,-0.23,-0.19,0.45,-0.56
25,2011-06-30,131.452,4.978771,36,10.373,6.8625,95.83,5.0,5389.45385479452,3.11,7.3,-0.83,21.664383561643834,-2.87,-2.87,0.07681847979320733,38812,-7695.388219178082,48,-0.23,-0.19,0.45,-0.56
26,2011-09-30,202.501,4.935403,37,4.2343,7.395,99.18,6.5,5561.34942739726,3.48,7.3,-0.83,20.782191780821915,-2.04,-2.04,0.0749387095035308,40300,-7444.64410958904,45,-0.23,-0.19,0.45,-0.56
27,2011-12-31,172.42,4.957089,36,4.0139,6.975,103.54,6.1,5733.245,4.53,7.0,-0.83,19.9,-1.74,-1.74,0.07473155066167016,38841,-7193.9,44,-0.22,-0.16,0.46,-0.58
28,2012-03-31,121.853,4.918534,36,1.8706,5.08,102.73,6.1,5899.537306010929,4.21,8.7,-0.83,19.07950819672131,-1.3900000000000001,-1.3900000000000001,0.06923539456911273,43684,-8316.879781420765,43,-0.22,-0.16,0.46,-0.58
29,2012-06-30,162.384,5.007675,35,4.3297,5.15,106.42,6.5,6065.829612021858,4.07,6.3,-0.83,18.25901639344262,-1.52,-1.52,0.06506911165796025,45913,-9439.85956284153,43,-0.22,-0.16,0.46,-0.58
30,2012-09-30,106.33,5.0149,36,3.43,4.2725,107.6,6.5,6233.949306010929,3.52,6.6,-0.83,17.42950819672131,-2.55,-2.55,0.06391203157149121,47206,-10575.179781420766,43,-0.22,-0.16,0.46,-0.58
31,2012-12-31,97.338,5.048611,35,3.5008,4.5525,108.09,5.5,6402.069,2.85,5.6,-0.83,16.6,-2.79,-2.79,0.05526217369739792,49656,-11710.5,40,-0.37,-0.14,0.49,-0.57
32,2013-03-31,97.67,4.875147,35,9.0407,4.095,108.03,5.2,6458.823739726027,2.64,6.4,-0.83,16.18082191780822,-3.7199999999999998,-3.7199999999999998,0.05351216346734275,52534,-11205.538356164383,40,-0.37,-0.14,0.49,-0.57
33,2013-06-30,145.338,4.876754,34,9.9076,10.8175,103.57,6.7,6516.209087671233,2.51,5.8,-0.83,15.756986301369864,-4.14,-4.14,0.054568473620029395,48533,-10694.96602739726,40,-0.37,-0.14,0.49,-0.57
34,2013-09-30,149.163,4.810327,35,5.102,6.725,103.15,5.2,6574.225043835617,3.12,5.9,-0.83,15.328493150684933,-4.57,-4.57,0.05670536897062261,50446,-10178.78301369863,40,-0.37,-0.14,0.49,-0.57
35,2013-12-31,133.067,4.610199,35,3.9636,7.165,102.44,6.3,6632.241,2.95,5.7,-0.83,14.9,-4.66,-4.66,0.05335174285040172,48948,-9662.6,40,-0.42,-0.11,0.46,-0.57
36,2014-03-31,111.183,5.082407,36,2.6967,6.31,103.1,4.7,6615.063082191781,3.41,6.9,-0.83,16.182191780821917,-4.6899999999999995,-4.6899999999999995,0.0574549031748102,49443,-8177.624657534247,40,-0.42,-0.11,0.46,-0.57
37,2014-06-30,82.875,5.009409,36,3.4565,5.6375,102.88,1.7,6597.6942986301365,3.51,5.7,-0.83,17.478630136986304,-4.92,-4.92,0.05759642777575001,49309,-6676.149589041096,40,-0.42,-0.11,0.46,-0.57
38,2014-09-30,104.5,4.473149,36,3.6806,4.675,102.05,1.8,6580.134649315069,2.92,5.6,-0.83,18.789315068493153,-4.34,-4.34,0.05861023656892868,51337,-5158.174794520548,40,-0.42,-0.11,0.46,-0.57
39,2014-12-31,114.92,4.903064,37,3.5886,5.2725,103.37,1.6,6562.575,3.16,5.6,-0.83,20.1,-4.44,-4.44,0.05571877558825404,52108,-3640.2,42,-0.56,-0.27,0.52,-0.52
40,2015-03-31,134.316,4.432446,38,4.2292,6.895,103.54,2.0,6460.957109589041,2.95,7.0,-0.83,20.889041095890413,-4.66,-4.66,0.057942426362683,53203,-4750.8,42,-0.56,-0.27,0.52,-0.52
41,2015-06-30,140.118,4.214209,37,3.4356,6.555,101.02,3.2,6358.210131506849,3.31,6.8,-0.83,21.686849315068493,-4.32,-4.32,0.05969128187351529,54205,-5873.74,42,-0.56,-0.27,0.52,-0.52
42,2015-09-30,195.729,5.223453,38,5.1754999999999995,9.025,103.71,3.1,6254.3340657534245,3.83,6.4,-0.83,22.49342465753425,-4.79,-4.79,0.05613258935603956,55913,-7009.02,42,-0.56,-0.27,0.52,-0.52
43,2015-12-31,187.663,5.1588,37,3.3442,7.385,100.18,4.7,6150.458,4.08,5.7,-0.83,23.3,-4.83,-4.83,0.053101231355451056,56601,-8144.3,44,-0.53,-0.28,0.49,-0.49
44,2016-03-31,162.619,5.5898710000000005,38,8.8414,11.0825,99.46,4.5,6157.35037978142,4.46,7.2,-0.83,23.424316939890712,-4.57,-4.57,0.0515736344511612,57639,-7750.314754098361,45,-0.53,-0.28,0.49,-0.49
45,2016-06-30,138.662,5.761535,38,9.896,9.7725,100.81,4.0,6164.2427595628415,3.6,7.0,-0.83,23.54863387978142,-4.34,-4.34,0.05488422892842852,57558,-7356.329508196722,45,-0.53,-0.28,0.49,-0.49
46,2016-09-30,102.692,5.24448,38,5.3503,9.215,98.09,4.4,6171.210879781421,3.01,6.5,-0.83,23.674316939890712,-3.62,-3.62,0.055187555511284875,56925,-6958.014754098361,45,-0.53,-0.28,0.49,-0.49
47,2016-12-31,108.021,5.272173,37,5.5361,8.0375,101.46,3.0,6178.179,3.33,6.2,-0.83,23.8,-2.77,-2.77,0.05232743536829375,57799,-6559.7,43,-0.37,-0.18,0.51,-0.48
48,2017-03-31,102.15,5.197455,36,4.8889,7.86,104.39,2.3,6314.700863013699,3.44,7.7,-0.83,24.21917808219178,-2.03,-2.03,0.057515508087700236,58825,-6546.754794520548,40,-0.37,-0.18,0.51,-0.48
49,2017-06-30,85.538,5.047036,36,3.6153,6.075,101.47,2.6,6452.739635616438,3.15,6.9,-0.83,24.64301369863014,-1.18,-1.18,0.05530277771904687,57354,-6533.665753424657,40,-0.37,-0.18,0.51,-0.48
50,2017-09-30,83.232,4.682964,36,2.3232,5.335,99.14,2.9,6592.295317808219,2.99,6.4,-0.83,25.071506849315067,-0.77,-0.77,0.055199145376362495,58796,-6520.432876712329,40,-0.37,-0.18,0.51,-0.48
51,2017-12-31,71.962,4.156114,36,4.0352,4.78,98.59,2.2,6731.851,1.65,6.5,-0.83,25.5,-1.29,-1.29,0.05619353607839177,58418,-6507.2,40,-0.5,-0.13,0.42,-0.5
