quarter,fiveYearCDS,Three_Month_Deposit_Rate,EU_Banking_Risk,historical_3_month_volatility,implied_volatility,real_effective_exchange_rate,GDP_YOY,GDP_per_capita,CPI_actual,unemployment,budget_balance,net_debt,current_Account,currency_Reserves,total_reserves_to_importS,total_foreign_claims_on_country,foreign_Direct_investment,EIU_political_risk,WGI_control_of_corruption,WGI_govt_effectiveness,WGI_regulatory_quality,WGI_rule_of_law
0,2005-03-31,412.357,6.524,58,,7.0,77.04,4.4,1121.948109589041,7.23,11.3,-3.68,73.73150684931507,2.6,0.5862708593519073,0.2771596991176045,17177.0,-296.61917808219175,55,-0.65,-0.24,-0.3,-0.57
1,2005-06-30,399.875,6.331,57,,9.0,78.76,5.1,1150.7325315068492,7.07,8.3,-3.22,73.25780821917809,2.34,0.6115676566108884,0.2780517765156518,20300.0,-486.3230136986301,55,-0.65,-0.24,-0.3,-0.57
2,2005-09-30,342.214,7.635,58,,7.0,78.26,4.4,1179.8332657534247,6.03,7.7,-2.77,72.77890410958904,2.24,0.6432708214894316,0.2715162138475022,19952.0,-678.111506849315,55,-0.65,-0.24,-0.3,-0.57
3,2005-12-31,268.625,7.531,53,,6.0,84.71,5.1,1208.934,6.1,7.4,-2.59,72.3,1.9,0.5257208709700286,0.264261584829838,21733.0,-869.9,55,-0.62,-0.04,-0.18,-0.35
4,2006-03-31,190.1,7.349,48,,7.3,88.33,5.4,1257.3298356164382,6.33,8.1,-2.59,70.2041095890411,1.99,0.6386316402529493,0.23182541461228148,22504.0,-1059.5657534246575,57,-0.62,-0.04,-0.18,-0.35
5,2006-06-30,234.688,7.656,48,,7.85,83.74,5.3,1306.263402739726,6.07,8.2,-1.85,68.08493150684932,3.79,0.6277735340576909,0.24884742041712404,20854.0,-1251.338904109589,67,-0.62,-0.04,-0.18,-0.35
6,2006-09-30,171.0,7.422,51,,6.625,88.78,4.9,1355.734701369863,5.2,8.1,-1.45,65.94246575342466,4.4,0.619094321914594,0.22942908685732477,21572.0,-1445.2194520547944,67,-0.62,-0.04,-0.18,-0.35
7,2006-12-31,122.375,6.563,51,,6.15,89.37,5.4,1405.206,4.33,7.4,-1.03,63.8,5.64,0.5533797664909101,0.20811585518102374,21612.0,-1639.1,64,-0.83,-0.13,-0.17,-0.41
8,2007-03-31,120.476,5.25,51,,5.45,90.81,6.3,1473.8727945205478,3.1,7.8,-0.77,61.82739726027397,6.34,0.6649903636766846,0.210671710647721,22564.0,-629.8671232876713,69,-0.83,-0.13,-0.17,-0.41
9,2007-06-30,110.675,5.839,49,,7.05,95.11,7.6,1543.3025534246576,2.63,7.4,-1.13,59.83287671232876,5.87,0.6425073880770741,0.2006625452995097,23396.0,390.57945205479473,64,-0.83,-0.13,-0.17,-0.41
10,2007-09-30,143.056,6.47,49,,7.975,93.59,6.3,1613.4952767123289,2.83,7.8,-0.81,57.81643835616438,6.06,0.7528270731410505,0.17022391273144827,22659.0,1422.2397260273974,64,-0.83,-0.13,-0.17,-0.41
