quarter,fiveYearCDS,Three_Month_Deposit_Rate,EU_Banking_Risk,historical_3_month_volatility,implied_volatility,real_effective_exchange_rate,GDP_YOY,GDP_per_capita,CPI_actual,unemployment,budget_balance,net_debt,current_Account,currency_Reserves,total_reserves_to_importS,total_foreign_claims_on_country,foreign_Direct_investment,EIU_political_risk,WGI_control_of_corruption,WGI_govt_effectiveness,WGI_regulatory_quality,WGI_rule_of_law
0,2005-03-31,13.917,5.8,36,,13.4,99.27,2.2,7013.714287671233,3.57,18.3,-4.93,49.35753424657534,-2.45,0.5055641410419773,0.2401880080334164,96701.0,-10540.013698630137,38,0.14,0.47,0.82,0.42
1,2005-06-30,16.833,4.8,36,,11.5,96.15,2.8,7346.625945205479,2.3,18.4,-4.2,48.809041095890414,-2.11,0.5478240482202364,0.21052767855122814,110479.0,-9337.816438356163,39,0.14,0.47,0.82,0.42
2,2005-09-30,13.5,4.4,36,,12.05,99.08,4.3,7683.19597260274,1.5699999999999998,17.8,-4.0,48.254520547945205,-2.94,0.5266967335848401,0.23484827760891588,115516.0,-8122.408219178082,40,0.14,0.47,0.82,0.42
3,2005-12-31,15.5,4.5,37,,11.5,99.81,4.8,8019.766,1.1,16.6,-3.98,47.7,-2.87,0.4851599568267674,0.21251917961418082,103465.0,-6907.0,40,0.27,0.48,0.83,0.48
4,2006-03-31,21.0,4.05,29,,12.0,98.51,5.6,8270.161534246576,0.57,15.1,-3.7800000000000002,47.157534246575345,-3.71,0.5595316603401532,0.24134380721752996,109845.0,-7834.86301369863,26,0.27,0.48,0.83,0.48
5,2006-06-30,27.333,4.04,31,,12.8,96.14,6.3,8523.33924109589,0.8,14.0,-3.87,46.60904109589041,-3.64,0.5563172113221865,0.23330328003882445,115607.0,-8773.035616438356,33,0.27,0.48,0.83,0.48
6,2006-09-30,18.4,4.1,31,,11.3,97.9,6.5,8779.299120547945,1.43,13.2,-3.74,46.05452054794521,-3.25,0.5530232904980168,0.24739612668892508,120810.0,-9721.517808219178,33,0.27,0.48,0.83,0.48
7,2006-12-31,13.1,4.08,32,,9.0,101.32,6.3,9035.259,1.33,11.9,-3.56,45.5,-5.19,0.44317145233959904,0.25109712730558476,137493.0,-10670.0,33,0.27,0.37,0.73,0.4
8,2007-03-31,12.3,4.17,32,,8.4,99.92,7.6,9584.988616438357,2.0,10.3,-2.61,44.90821917808219,-5.74,0.5159872930935262,0.28275043640076414,171001.0,-12340.547945205479,33,0.27,0.37,0.73,0.4
9,2007-06-30,8.7,4.66,31,,7.2,102.08,7.2,10140.826339726027,2.4,9.5,-2.54,44.30986301369863,-7.31,0.5093809201480846,0.25939952874213934,185609.0,-14029.657534246575,33,0.27,0.37,0.73,0.4
10,2007-09-30,14.0,4.89,31,,8.6,102.57,6.7,10702.772169863014,2.03,9.2,-2.15,43.70493150684931,-5.72,0.5092853339901248,0.26013419166350404,208062.0,-15737.328767123288,33,0.27,0.37,0.73,0.4
11,2007-12-31,23.503,5.55,31,9.6338,9.625,108.87,6.7,11264.718,3.5300000000000002,8.3,-1.8900000000000001,43.1,-6.51,0.4580722989699474,0.23301295285769644,239534.0,-17445.0,33,0.3,0.39,0.77,0.43
12,2008-03-31,74.169,6.05,33,11.6568,12.35,112.46,5.8,11945.984527322405,4.1,7.3,-1.77,43.62213114754098,-6.27,0.5421333650956244,0.25208319792885303,275424.0,-15571.046448087433,32,0.3,0.39,0.77,0.43
