quarter,fiveYearCDS,Three_Month_Deposit_Rate,EU_Banking_Risk,historical_3_month_volatility,implied_volatility,real_effective_exchange_rate,GDP_YOY,GDP_per_capita,CPI_actual,unemployment,budget_balance,net_debt,current_Account,currency_Reserves,total_reserves_to_importS,total_foreign_claims_on_country,foreign_Direct_investment,EIU_political_risk,WGI_control_of_corruption,WGI_govt_effectiveness,WGI_regulatory_quality,WGI_rule_of_law
0,2005-03-31,59.5,8.75,58,,,96.44,6.01,3817.9669589041096,8.83,6.1,-0.78,22.786301369863015,,0.8388739014994326,0.2135693892750745,14246.0,-6322.52602739726,44,-0.3,-0.21,0.16,-0.17
1,2005-06-30,51.5,8.0,55,,,96.91,4.87,4097.485550684932,9.9,5.6,-0.97,21.963561643835618,,0.739949345705305,0.2097462976450595,20873.0,-6271.491232876712,40,-0.3,-0.21,0.16,-0.17
2,2005-09-30,34.0,4.5,57,,,100.58,2.93,4380.075775342466,8.9,5.6,-1.21,21.131780821917808,,0.7359931707036202,0.17557775541016607,24328.0,-6219.895616438356,39,-0.3,-0.21,0.16,-0.17
3,2005-12-31,36.0,7.0,57,,,98.05,4.07,4662.666,8.47,5.9,-0.83,20.3,-8.62,0.6876486602913954,0.18536584138486314,25805.0,-6168.3,39,-0.24,-0.31,0.23,-0.14
4,2006-03-31,40.335,8.0,45,,,103.48,7.53,4945.925342465754,8.6,6.1,-0.51,19.806849315068494,-8.61,0.9780436985084683,0.1799617695248498,28184.0,-7237.623287671233,26,-0.24,-0.31,0.23,-0.14
5,2006-06-30,54.75,8.0,51,,,104.47,8.02,5232.332010958904,7.1,5.2,1.21,19.308219178082194,-9.16,0.8173899423501532,0.19058413742373762,32856.0,-8318.82794520548,38,-0.24,-0.31,0.23,-0.14
6,2006-09-30,37.62,8.775,48,,,104.55,8.37,5521.886005479451,5.9,4.9,1.77,18.804109589041097,-9.85,0.707246758571209,0.1813932423323222,37268.0,-9411.91397260274,38,-0.24,-0.31,0.23,-0.14
7,2006-12-31,19.505,8.0,45,,,109.46,8.11,5811.44,4.78,5.2,-2.19,18.3,-10.36,0.6608917438136237,0.19124135965224828,69608.0,-10505.0,35,-0.16,-0.21,0.46,-0.12
8,2007-03-31,19.125,7.75,48,,,110.4,6.7,6431.523479452055,3.83,4.8,-2.43,16.993150684931507,-11.34,0.9014565221476526,0.19654087611607143,72174.0,-10241.657534246575,37,-0.16,-0.21,0.46,-0.12
9,2007-06-30,17.5,7.25,48,,,115.47,6.64,7058.496775342465,3.79,4.0,-2.75,15.671780821917809,-12.14,0.6975048778320382,0.1958277989414422,82370.0,-9975.38904109589,43,-0.16,-0.21,0.46,-0.12
10,2007-09-30,40.2,7.1,48,,,113.57,6.29,7692.359887671233,4.99,3.9,-2.67,14.335890410958903,-12.56,0.7247865533642571,0.16282792389479575,92510.0,-9706.194520547946,43,-0.16,-0.21,0.46,-0.12
11,2007-12-31,87.4,8.05,51,,,109.0,7.78,8326.223,6.6899999999999995,4.1,-2.62,13.0,-13.45,0.6711623047522258,0.17649298273915145,107506.0,-9437.0,44,-0.18,-0.32,0.51,-0.09
12,2008-03-31,203.2,10.25,52,,,105.9,9.39,8829.778213114754,7.95,4.11,-3.03,13.422677595628414,-13.54,0.9304812512925451,0.18878235087190312,117756.0,-10411.09781420765,44,-0.18,-0.32,0.51,-0.09
13,2008-06-30,195.3,11.3,53,,14.4975,107.02,10.29,9333.333426229508,8.56,3.71,-4.52,13.84535519125683,-14.0,0.7292233593729388,0.2077404944413422,124157.0,-11385.1956284153,45,-0.18,-0.32,0.51,-0.09
14,2008-09-30,259.3,12.825,52,,19.31,107.2,9.74,9842.422213114754,8.12,3.88,-5.02,14.272677595628414,-13.46,0.6719119990611506,0.2101058031420327,118436.0,-12369.99781420765,46,-0.18,-0.32,0.51,-0.09
15,2008-12-31,634.8,14.75,56,,39.3775,103.38,4.52,10351.511,6.8100000000000005,4.4,-5.32,14.7,-11.5,0.6497469021205762,0.12766870999240534,116687.0,-13354.8,46,-0.14,-0.32,0.58,-0.01
