quarter,fiveYearCDS,Three_Month_Deposit_Rate,EU_Banking_Risk,historical_3_month_volatility,implied_volatility,real_effective_exchange_rate,GDP_YOY,GDP_per_capita,CPI_actual,unemployment,budget_balance,net_debt,current_Account,currency_Reserves,total_reserves_to_importS,total_foreign_claims_on_country,foreign_Direct_investment,EIU_political_risk,WGI_control_of_corruption,WGI_govt_effectiveness,WGI_regulatory_quality,WGI_rule_of_law
0,2005-03-31,145.214,8.0,58,,6.05,77.72,5.6,4729.903917808219,13.1,8.0,6.24,24.42739726027397,10.51,0.8351962243148073,0.05256140419135467,34553.0,-636.523287671233,60,-0.8,-0.44,-0.12,-0.89
1,2005-06-30,100.0,7.5,58,,5.375,81.0,6.0,5055.398701369863,13.77,7.3,6.91,20.612876712328767,11.22,0.8331837997991295,0.05591446237173991,53727.0,358.8920547945204,60,-0.8,-0.44,-0.12,-0.89
2,2005-09-30,54.417,7.5,59,,5.6,80.77,6.0,5384.470350684932,12.67,7.3,6.42,16.756438356164384,11.17,0.7597353624016286,0.05585556852550499,58723.0,1365.2460273972601,60,-0.8,-0.44,-0.12,-0.89
3,2005-12-31,67.667,6.68,58,,6.0,83.0,7.8,5713.542,11.3,7.6,7.46,12.9,11.11,0.8117026194120196,0.06223146782617001,64240.0,2371.6,60,-0.82,-0.5,-0.13,-0.93
4,2006-03-31,57.5,5.6924,47,,6.05,88.41,7.3,6134.628575342466,10.83,7.7,7.25,11.617808219178082,11.72,0.9501864701617498,0.046746672733477414,69484.0,-87.5452054794523,38,-0.82,-0.5,-0.13,-0.93
5,2006-06-30,68.75,4.6,50,,6.4,88.99,8.1,6560.393890410959,9.4,7.2,7.24,10.321369863013699,11.1,1.0251304134828285,0.0477548605074058,79154.0,-2574.0142465753424,48,-0.82,-0.5,-0.13,-0.93
6,2006-09-30,57.571,4.044,48,,5.4,89.77,8.2,6990.83794520548,9.47,6.6,8.36,9.01068493150685,10.78,0.952775975013057,0.04570344600993409,85038.0,-5087.807123287672,48,-0.82,-0.5,-0.13,-0.93
7,2006-12-31,43.9,5.2162,49,,4.65,89.73,8.9,7421.282,9.07,6.9,7.41,7.7,9.27,1.040194224001711,0.056918180477156494,97937.0,-7601.6,49,-0.91,-0.44,-0.4,-0.95
8,2007-03-31,47.915,5.075,50,,4.5,92.67,8.1,7996.799205479452,7.73,6.8,6.79,7.256164383561644,8.0,1.266049632518215,0.045130873442184645,119344.0,-8457.438356164384,50,-0.91,-0.44,-0.4,-0.95
9,2007-06-30,43.24,4.7,48,3.8429,3.8,93.39,8.6,8578.711046575343,7.97,5.8,6.78,6.807397260273973,6.63,1.3171518402549083,0.04224631616348539,152144.0,-9322.78602739726,52,-0.91,-0.44,-0.4,-0.95
10,2007-09-30,70.965,6.625,47,4.8858,4.65,94.0,8.2,9167.017523287672,8.9,5.6,6.22,6.353698630136987,5.36,1.159531070973974,0.04040673432327459,178559.0,-10197.643013698631,52,-0.91,-0.44,-0.4,-0.95
11,2007-12-31,88.17,6.5,49,4.2695,6.2,95.91,9.2,9755.324,11.4,6.1,5.4,5.9,5.5,1.1720261192446666,0.04836197248036638,202870.0,-11072.5,54,-1.01,-0.39,-0.3,-0.97
12,2008-03-31,148.34,6.7,50,6.5388,6.95,97.86,9.2,10430.751609289619,12.87,6.5,5.43,6.049180327868853,6.06,1.3202024324487198,0.04282834174702013,224194.0,-13073.455737704917,55,-1.01,-0.39,-0.3,-0.97
13,2008-06-30,107.731,5.105,50,5.6982,6.865,100.46,7.9,11106.179218579236,14.83,5.6,5.54,6.198360655737705,6.44,1.2713058358672829,0.04261587559818265,239236.0,-15074.411475409835,55,-1.01,-0.39,-0.3,-0.97
14,2008-09-30,261.491,10.2768,51,8.9337,10.415,100.24,6.4,11789.029109289619,14.9,6.2,6.76,6.349180327868853,6.89,1.2060749198813032,0.04674178896037924,229046.0,-17097.35573770492,57,-1.01,-0.39,-0.3,-0.97
15,2008-12-31,741.155,18.0,57,16.4034,27.6525,99.33,-1.3,12471.879,13.77,7.8,4.13,6.5,6.21,1.1400945450018363,0.051193929514442765,214425.0,-19120.3,57,-1.11,-0.36,-0.39,-0.96
16,2009-03-31,501.118,17.5,57,36.623,17.78,88.03,-9.2,11660.33297260274,13.77,9.2,2.64,6.943835616438356,4.99,1.4994455654740477,0.032599051797916126,203300.0,-12754.291780821915,55,-1.11,-0.36,-0.39,-0.96
17,2009-06-30,343.617,11.0,58,10.147,14.3875,93.61,-11.2,10839.769767123289,12.47,8.3,-0.99,7.392602739726028,3.89,1.3340528457954741,0.032541994587894675,195597.0,-6317.550136986301,55,-1.11,-0.36,-0.39,-0.96
18,2009-09-30,210.269,10.0,56,12.5267,12.725,91.95,-8.6,10010.189383561645,11.43,7.6,-5.66,7.846301369863014,3.5,1.1373761731023022,0.037784446422112344,183767.0,189.92493150684913,55,-1.11,-0.36,-0.39,-0.96
19,2009-12-31,185.52,8.0,55,10.6343,16.24,93.57,-2.6,9180.609,9.2,8.2,-5.98,8.3,4.02,1.1569514544118191,0.04334659229869562,172474.0,6697.4,55,-1.13,-0.41,-0.34,-0.78
20,2010-03-31,144.479,6.75,54,8.8148,10.795,100.74,4.1,9739.064424657534,7.23,8.6,-6.27,8.2013698630137,5.35,1.245945724899458,0.03792424086011954,169941.0,7375.753424657534,55,-1.13,-0.41,-0.34,-0.78
