quarter,fiveYearCDS,Three_Month_Deposit_Rate,EU_Banking_Risk,historical_3_month_volatility,implied_volatility,real_effective_exchange_rate,GDP_YOY,GDP_per_capita,CPI_actual,unemployment,budget_balance,net_debt,current_Account,currency_Reserves,total_reserves_to_importS,total_foreign_claims_on_country,foreign_Direct_investment,EIU_political_risk,WGI_control_of_corruption,WGI_govt_effectiveness,WGI_regulatory_quality,WGI_rule_of_law
0,2005-03-31,83.0,7.55,36,,17.75,102.46,5.4,5002.891150684932,2.83,,-1.37,43.40958904109589,-3.18,0.05634500128613217,0.34373975120158323,20916.0,-928.8849315068492,33,0.46,0.64,0.66,0.11
1,2005-06-30,59.75,7.05,39,,16.4,95.09,5.2,5138.579380821918,3.2,,-1.17,40.891506849315064,-3.0,0.06954671838948281,0.2707921026186676,23095.0,-2478.801917808219,31,0.46,0.64,0.66,0.11
2,2005-09-30,42.5,7.2,40,,14.75,101.47,5.5,5275.758690410959,3.77,,-0.7,38.34575342465753,-3.1,0.06764739888955025,0.30778408123900836,72386.0,-4045.750958904109,31,0.46,0.64,0.66,0.11
3,2005-12-31,40.625,7.2,39,,12.75,103.59,5.1,5412.938,3.6,,-0.45,35.8,-3.13,0.0686427556397759,0.23022498519834222,73633.0,-5612.7,31,0.57,0.64,0.7,0.11
4,2006-03-31,42.55,7.2,36,,12.5,104.92,4.9,5468.599671232877,3.7,,-0.3,35.18356164383562,-3.43,0.07340948994823004,0.26819769981074393,85173.0,-2920.5410958904104,24,0.57,0.64,0.7,0.11
5,2006-06-30,76.0,7.6,37,,20.0,92.29,4.8,5524.8798054794515,4.0,,-0.05,34.56027397260274,-3.7800000000000002,0.08590775026886689,0.2691032911863146,81165.0,-198.46931506849342,29,0.57,0.64,0.7,0.11
6,2006-09-30,63.15,8.725,34,,18.0,87.9,5.3,5581.778402739726,5.27,,0.25,33.93013698630137,-3.73,0.09180325348362037,0.2369017949525395,80239.0,2553.5153424657533,29,0.57,0.64,0.7,0.11
7,2006-12-31,42.313,9.1,36,,14.25,90.58,7.0,5638.677,5.57,,0.21,33.3,-4.45,0.08315526879196375,0.2339623541657631,90100.0,5305.5,29,0.45,0.44,0.68,0.26
8,2007-03-31,36.48,9.25,34,,13.6,87.37,6.5,5758.335082191781,5.97,,0.54,32.80684931506849,-4.18,0.08541871580785784,0.26954757012872654,91839.0,3108.4643835616444,29,0.45,0.44,0.68,0.26
9,2007-06-30,28.56,9.7,37,18.2395,13.125,90.35,5.5,5879.322698630137,7.0,,0.44,32.30821917808219,-4.58,0.086893518455788,0.2721019807805452,102035.0,887.0172602739731,29,0.45,0.44,0.68,0.26
10,2007-09-30,49.766,10.25,34,23.3376,13.5,90.18,4.9,6001.639849315068,6.97,,0.36,31.804109589041097,-5.53,0.08929272867347575,0.23316481441127335,109997.0,-1358.8413698630134,29,0.45,0.44,0.68,0.26
11,2007-12-31,72.907,11.2,35,17.3074,17.15,92.09,4.7,6123.957,8.47,,0.66,31.3,-5.35,0.0912544261120726,0.24538916489235862,113254.0,-3604.7,30,0.25,0.47,0.49,0.09
12,2008-03-31,207.432,11.45,39,21.8875,21.25,77.67,3.9,6043.999079234973,10.7,23.2,0.9,31.37459016393443,-6.0,0.10847473060946529,0.24089498611791604,105718.0,-5693.199726775955,30,0.25,0.47,0.49,0.09
13,2008-06-30,190.703,12.45,38,17.0455,18.1325,79.19,4.8,5964.041158469946,10.93,22.6,1.09,31.449180327868852,-6.1,0.10370712689397736,0.2573131209208115,112651.0,-7781.6994535519125,31,0.25,0.47,0.49,0.09
14,2008-09-30,210.683,12.2,39,20.6327,20.385,83.35,3.3,5883.204579234973,11.8,22.8,0.46,31.524590163934427,-6.03,0.10589258439223417,0.2826589257913856,105827.0,-9893.149726775957,31,0.25,0.47,0.49,0.09
15,2008-12-31,393.556,11.35,42,51.7567,26.7325,71.65,1.3,5802.368,10.37,21.5,-0.53,31.6,-5.53,0.11963536815545273,0.18359240125555845,93406.0,-12004.6,32,0.21,0.51,0.5,0.07
16,2009-03-31,362.417,8.9,39,39.5046,26.2275,75.97,-1.0,5832.951479452055,8.4,23.0,-1.13,31.13150684931507,-5.05,0.11808446399898545,0.17156570977087174,98697.0,-10601.241095890411,29,0.21,0.51,0.5,0.07
17,2009-06-30,218.534,7.45,40,23.1372,19.94,89.79,-2.4,5863.874775342466,7.8,23.2,-3.49,30.657808219178083,-4.08,0.10009458386486651,0.2788246893486494,111266.0,-9182.289315068494,31,0.21,0.51,0.5,0.07
18,2009-09-30,142.101,6.9,41,18.6828,18.37,94.92,-1.8,5895.137887671232,6.43,24.5,-4.78,30.17890410958904,-3.0,0.10415274917654946,0.16539858067090377,115221.0,-7747.7446575342465,30,0.21,0.51,0.5,0.07
19,2009-12-31,142.411,7.3495,38,22.349,19.9325,94.33,-0.6,5926.401,5.4,24.1,-6.04,29.7,-2.73,0.10048918891518317,0.16582370803416863,115435.0,-6313.2,29,0.18,0.48,0.41,0.12
20,2010-03-31,135.743,6.974,38,16.4219,13.795,98.62,2.4,6284.9743150684935,5.67,25.1,-6.54,30.612328767123287,-2.38,0.10372477303899158,0.20406550032003415,119400.0,-5706.969863013699,29,0.18,0.48,0.41,0.12
21,2010-06-30,174.638,6.75,37,20.2304,17.65,99.88,2.9,6647.5317780821915,4.53,25.1,-5.57,31.534794520547944,-2.2,0.10410809964846948,0.19072764905112627,114305.0,-5094.003835616439,29,0.18,0.48,0.41,0.12
22,2010-09-30,145.082,6.0,41,13.6025,13.8075,102.51,3.1,7014.073389041096,3.4699999999999998,25.4,-5.63,32.46739726027397,-2.1,0.09757219481565908,0.1960203792080485,122387.0,-4474.3019178082195,29,0.18,0.48,0.41,0.12
23,2010-12-31,126.116,5.6,40,14.3567,13.9675,105.41,3.3,7380.615,3.43,23.9,-5.33,33.4,-1.53,0.08876343775813175,0.18314132285527177,133967.0,-3854.6,29,0.13,0.39,0.36,0.14
24,2011-03-31,120.375,5.63,38,14.1954,13.815,101.9,3.3,7553.836890410959,3.83,24.8,-4.71,34.68219178082192,-1.3,0.09996457449745276,0.21199324324324326,131250.0,-3962.6246575342466,29,0.13,0.39,0.36,0.14
25,2011-06-30,123.866,5.625,38,13.3745,14.99,102.41,3.4,7728.98346849315,4.63,25.6,-4.63,35.978630136986304,-1.48,0.10015139762145348,0.20389186977082574,131979.0,-4071.849589041096,29,0.13,0.39,0.36,0.14
26,2011-09-30,211.505,5.715,40,23.8363,25.795,94.84,3.0,7906.054734246575,5.4,25.0,-4.96,37.28931506849315,-1.65,0.11531348879768057,0.21997407887428252,116806.0,-4182.274794520547,29,0.13,0.39,0.36,0.14
27,2011-12-31,202.067,5.805,40,22.028,22.1425,90.2,3.2,8083.126,6.1,23.8,-4.21,38.6,-2.23,0.10959023108515442,0.18211808897757953,113056.0,-4292.7,30,0.06,0.41,0.41,0.15
28,2012-03-31,160.394,5.525,39,14.7612,15.4175,97.5,2.1,7956.646193989071,6.07,25.0,-4.8100000000000005,39.519945355191254,-2.7,0.10645350114016579,0.2165094811513801,123871.0,-3654.8297814207654,30,0.06,0.41,0.41,0.15
29,2012-06-30,163.0,5.5375,40,15.6554,17.1225,91.74,2.8,7830.166387978142,5.7,24.8,-4.46,40.439890710382514,-3.5300000000000002,0.10818934036186523,0.20372160216231333,117899.0,-3016.95956284153,31,0.06,0.41,0.41,0.15
30,2012-09-30,149.253,4.9625,41,14.8092,15.235,91.6,2.1,7702.296693989071,5.13,25.2,-4.61,41.369945355191255,-4.35,0.11121767765725545,0.2123076923076923,117556.0,-2372.079781420765,31,0.06,0.41,0.41,0.15
31,2012-12-31,142.823,5.05,40,13.3552,13.5775,88.15,1.9,7574.427,5.63,24.5,-5.16,42.3,-5.13,0.11159127476136652,0.17858188430503466,117215.0,-1727.2,30,-0.12,0.35,0.38,0.11
32,2013-03-31,181.325,5.075,41,12.2798,12.7125,85.69,2.3,7410.0036575342465,5.73,25.0,-5.27,43.06438356164384,-5.58,0.11716357247401966,0.19668319217792468,110959.0,-1723.6,30,-0.12,0.35,0.38,0.11
33,2013-06-30,216.327,5.075,43,17.721,17.87,78.85,2.5,7243.753389041096,5.67,25.3,-5.39,43.8372602739726,-5.73,0.11778465027475989,0.1979629363940698,103037.0,-1719.96,31,-0.12,0.35,0.38,0.11
34,2013-09-30,197.226,5.075,42,14.8947,15.58,80.02,2.2,7075.676194520548,6.23,24.5,-5.21,44.6186301369863,-5.98,0.12504112394794,0.20879211285238425,102206.0,-1716.28,31,-0.12,0.35,0.38,0.11
35,2013-12-31,204.109,5.15,43,12.4775,13.78,76.7,3.2,6907.599,5.43,24.1,-4.9,45.4,-5.8,0.12915691228447554,0.1704937143366619,96355.0,-1712.6,33,-0.07,0.44,0.42,0.16
36,2014-03-31,194.798,6.1,42,14.4002,13.4875,75.98,2.2,6809.259821917808,5.9,25.2,-4.79,45.25205479452055,-5.68,0.12591303735862494,0.20304597830743906,98717.0,-821.7232876712328,33,-0.07,0.44,0.42,0.16
37,2014-06-30,176.625,6.4,42,10.6178,10.7275,77.01,1.9,6709.82798630137,6.43,25.5,-4.65,45.10246575342465,-5.83,0.12273426122395688,0.18386048437176566,100894.0,79.0520547945207,33,-0.07,0.44,0.42,0.16
38,2014-09-30,195.322,6.4,43,9.7293,11.44,77.42,2.0,6609.303493150685,6.2,25.4,-4.86,44.951232876712325,-5.28,0.12982939516116457,0.2043255698375765,100231.0,989.7260273972604,31,-0.07,0.44,0.42,0.16
39,2014-12-31,191.791,6.175,40,12.6925,13.8275,77.2,1.7,6508.779,5.67,24.3,-4.66,44.8,-5.1,0.1314741008246847,0.16838751214222786,102520.0,1900.4,29,-0.06,0.34,0.29,0.18
40,2015-03-31,208.737,6.4,43,13.7827,15.525,78.65,2.4,6334.679547945206,4.1,26.4,-4.09,44.701369863013696,-5.1,0.1279414162221469,0.18474518088196462,104887.0,2416.5808219178084,29,-0.06,0.34,0.29,0.18
41,2015-06-30,209.387,6.825,43,14.0053,14.0275,77.07,1.2,6158.645657534247,4.6,25.0,-4.05,44.601643835616436,-4.33,0.12703882259671093,0.17428975113981762,108317.0,2938.4969863013703,29,-0.06,0.34,0.29,0.18
42,2015-09-30,292.494,6.525,41,17.9868,18.435,71.57,0.9,5980.677328767123,4.73,25.5,-4.07,44.50082191780822,-4.35,0.1415907285859574,0.17426762154238062,103617.0,3466.148493150685,29,-0.06,0.34,0.29,0.18
43,2015-12-31,335.852,6.53,41,18.0777,18.7775,66.43,0.6,5802.709,4.9,24.5,-3.7800000000000002,44.4,-4.6,0.15513209502157227,0.1367284959154253,98748.0,3993.8,29,0.03,0.26,0.28,0.09
44,2016-03-31,298.896,7.6,42,25.2111,19.6975,65.5,-0.1,5681.707095628415,6.5,26.7,-4.11,45.8172131147541,-4.6,0.14516742237607608,0.15228814775826596,95558.0,3566.4978142076507,29,0.03,0.26,0.28,0.09
45,2016-06-30,281.036,8.05,42,21.5083,20.1575,67.22,0.7,5560.70519125683,6.2,26.6,-3.86,47.234426229508195,-4.28,0.13934531872509962,0.15905727195017708,95050.0,3139.1956284153007,29,0.03,0.26,0.28,0.09
46,2016-09-30,256.336,7.75,43,17.7156,18.785,72.8,0.9,5438.373595628415,6.0,27.1,-3.99,48.6672131147541,-3.75,0.13136604127717108,0.16663471880303066,101663.0,2707.19781420765,29,0.03,0.26,0.28,0.09
47,2016-12-31,255.666,7.9,41,19.7452,18.435,77.94,1.1,5316.042,6.6,26.5,-4.12,50.1,-2.83,0.13138307725519824,0.14574073203965607,97507.0,2275.2,31,0.12,0.27,0.21,0.12
48,2017-03-31,191.017,7.15,40,16.9817,18.235,83.91,1.0,5529.040684931507,6.33,27.7,-3.81,50.74109589041096,-2.13,0.12418037786587582,0.17703894478409474,103430.0,3210.608219178082,31,0.12,0.27,0.21,0.12
49,2017-06-30,200.481,7.2,41,15.4747,15.2575,82.18,1.2,5744.406021917808,5.27,27.7,-3.94,51.389315068493154,-2.33,0.11966110386968903,0.1774358125679701,47797.0,4156.409863013699,31,0.12,0.27,0.21,0.12
50,2017-09-30,186.333,6.7,41,11.9098,16.985,78.33,1.6,5962.1380109589045,4.83,27.7,-4.19,52.044657534246575,-2.18,0.1274781549747518,0.17814549157144474,50246.0,5112.604931506849,31,0.12,0.27,0.21,0.12
51,2017-12-31,156.973,6.85,41,15.2843,14.54,79.34,1.4,6179.87,4.7,26.7,-4.38,52.7,-2.4,0.11744514214196018,0.15535110661772786,54409.0,6068.8,31,-0.01,0.28,0.23,-0.01
52,2018-03-31,151.916,7.1,41,14.1724,12.955,86.03,0.8,6273.610794520548,4.07,26.7,-4.44,52.7,-3.03,0.11069349469333573,0.1778657976662411,54329.0,,31,-0.01,0.28,0.23,-0.01
53,2018-06-30,216.093,6.7,41,16.4634,16.5375,80.35,0.3,6368.393153424658,4.5,27.2,-4.17,52.7,-3.15,0.12643785977214886,0.17124080539270578,,,31,-0.01,0.28,0.23,-0.01
54,2018-09-30,203.374,7.15,41,21.7089,17.2325,77.98,0.3,6464.217076712329,4.5,27.2,-4.17,52.7,-3.15,,,,,31,-0.01,0.28,0.23,-0.01
