quarter,fiveYearCDS,Three_Month_Deposit_Rate,EU_Banking_Risk,historical_3_month_volatility,implied_volatility,real_effective_exchange_rate,GDP_YOY,GDP_per_capita,CPI_actual,unemployment,budget_balance,net_debt,current_Account,currency_Reserves,total_reserves_to_importS,total_foreign_claims_on_country,foreign_Direct_investment,EIU_political_risk,WGI_control_of_corruption,WGI_govt_effectiveness,WGI_regulatory_quality,WGI_rule_of_law
0,2005-03-31,34.75,2.947,45,,5.65,85.59,3.9,2732.884794520548,2.8,2.08,-0.45,47.6,,0.9964723103313565,0.22406037656463657,31270.0,-6247.309589041096,51,-0.23,0.32,0.23,0.11
1,2005-06-30,34.0,3.85,46,,5.7,83.72,4.3,2790.1023534246574,3.7,1.9300000000000002,-0.29,47.6,,1.0662257915820488,0.22928557804386987,31276.0,-6716.171506849315,51,-0.23,0.32,0.23,0.11
2,2005-09-30,37.0,4.294,44,,5.525,85.38,4.7,2847.948676712329,5.63,1.3,0.26,47.6,,1.0468974619993618,0.2004135841902446,31320.0,-7190.185753424657,51,-0.23,0.32,0.23,0.11
3,2005-12-31,38.875,4.619,42,,4.65,86.27,3.9,2905.795,6.0,1.37,-0.51,47.6,-3.9699999999999998,1.0311636574506793,0.18972006865123986,32762.0,-7664.2,51,-0.19,0.4,0.47,0.05
4,2006-03-31,43.0,5.407,42,,6.7225,90.48,5.5,3022.43401369863,5.7,1.8,-0.92,46.02191780821918,-2.31,0.9874243271196564,0.20328138673220505,39887.0,-7716.597260273972,51,-0.19,0.4,0.47,0.05
5,2006-06-30,42.813,6.088,53,,6.6,91.56,4.5,3140.369016438356,6.05,1.54,0.0,44.42630136986302,-0.63,1.0509742343375057,0.20217106195944987,39334.0,-7769.576712328767,62,-0.19,0.4,0.47,0.05
6,2006-09-30,43.417,7.801,49,,5.4,93.3,4.5,3259.600008219178,3.65,1.16,-0.67,42.81315068493151,-0.15,1.0864415724195637,0.1770173508675434,40195.0,-7823.138356164383,65,-0.19,0.4,0.47,0.05
7,2006-12-31,26.833,5.3936,46,,4.9,96.2,5.4,3378.831,3.2800000000000002,0.96,0.67,41.2,1.01,1.0691443209013722,0.17379654163667274,41720.0,-7876.7,68,-0.38,0.45,0.24,-0.06
8,2007-03-31,41.514,5.5128,43,,12.0,104.24,6.6,3526.645520547945,2.48,1.6099999999999999,-0.19,40.38630136986301,2.48,1.0711458538605119,0.16300159189580318,44869.0,-7681.954794520548,68,-0.38,0.45,0.24,-0.06
9,2007-06-30,38.314,5.4469,45,,9.0,106.02,5.2,3676.1024246575344,1.9100000000000001,1.3900000000000001,-1.24,39.56356164383562,3.81,1.1251929830656935,0.16882962900600548,42451.0,-7485.045753424657,68,-0.38,0.45,0.24,-0.06
