quarter,fiveYearCDS,Three_Month_Deposit_Rate,EU_Banking_Risk,historical_3_month_volatility,implied_volatility,real_effective_exchange_rate,GDP_YOY,GDP_per_capita,CPI_actual,unemployment,budget_balance,net_debt,current_Account,currency_Reserves,total_reserves_to_importS,total_foreign_claims_on_country,foreign_Direct_investment,EIU_political_risk,WGI_control_of_corruption,WGI_govt_effectiveness,WGI_regulatory_quality,WGI_rule_of_law
0,2005-03-31,304.4,17.0,55,,16.95,86.66,8.255,6279.568438356165,8.62,10.0,,72.74657534246575,-3.5,0.36621166619043927,0.2666946536932413,34772.0,-3721.657534246576,50,-0.18,0.01,0.06,0.13
1,2005-06-30,261.05,15.13,56,,12.44,89.32,7.2620000000000005,6609.939326027397,8.61,8.7,,71.1758904109589,-3.8,0.33052107415201065,0.24538794389734409,42419.0,-5457.38904109589,49,-0.18,0.01,0.06,0.13
2,2005-09-30,209.81,14.88,55,,11.1875,90.55,7.7620000000000005,6943.940663013699,7.91,9.2,,69.58794520547946,-3.91,0.3052305651001943,0.2471337594809903,52869.0,-7212.194520547945,49,-0.18,0.01,0.06,0.13
3,2005-12-31,155.5,14.13,55,,8.775,95.0,9.775,7277.942,7.62,10.4,,68.0,-4.2,0.3678390431919063,0.22935407975642064,55704.0,-8967.0,44,-0.03,0.15,0.28,0.16
4,2006-03-31,146.125,13.7,46,,9.75,95.26,5.502,7431.077863013698,8.08,10.0,,65.97808219178083,-4.61,0.4899067663340284,0.1982105586773472,64523.0,-11505.246575342466,38,-0.03,0.15,0.28,0.16
5,2006-06-30,294.131,22.7,50,,22.0,78.79,9.167,7585.915235616439,9.6,8.1,,63.93369863013699,-5.26,0.4719787239965532,0.21708252790693625,68525.0,-14071.69589041096,46,-0.03,0.15,0.28,0.16
6,2006-09-30,217.946,19.75,52,,18.0031,85.8,7.143,7742.454117808219,10.83,8.4,,61.86684931506849,-5.6899999999999995,0.4089081821273925,0.20753368282645446,71364.0,-16666.347945205478,46,-0.03,0.15,0.28,0.16
7,2006-12-31,160.875,19.55,50,,11.5,87.94,5.803,7898.993,9.83,9.5,,59.8,-5.68,0.3954599820051098,0.21298873415226957,92880.0,-19261.0,46,0.03,0.12,0.29,0.05
8,2007-03-31,174.75,19.35,48,,10.9,90.64,6.234,8309.281054794521,10.32,9.5,-0.85,54.64657534246575,-5.63,0.4925058406303435,0.19627309665747247,107811.0,-19428.671232876713,46,0.03,0.12,0.29,0.05
9,2007-06-30,145.752,18.5,47,11.3203,14.25,95.87,3.229,8724.127865753424,9.52,8.3,-1.55,49.435890410958905,-5.25,0.4194514860188899,0.20863371115173673,115941.0,-19598.205479452055,51,0.03,0.12,0.29,0.05
