quarter,fiveYearCDS,Three_Month_Deposit_Rate,EU_Banking_Risk,historical_3_month_volatility,implied_volatility,real_effective_exchange_rate,GDP_YOY,GDP_per_capita,CPI_actual,unemployment,budget_balance,net_debt,current_Account,currency_Reserves,total_reserves_to_importS,total_foreign_claims_on_country,foreign_Direct_investment,EIU_political_risk,WGI_control_of_corruption,WGI_govt_effectiveness,WGI_regulatory_quality,WGI_rule_of_law
0,2005-03-31,228.75,,65,1.9276,,93.99,9.782191780821917,1546.256287671233,,8.7,-2.4231506849315068,22.801369863013697,,,0.2808525770104109,3015.0,-3146.5616438356165,69,-0.93,-0.6,-0.4,-0.76
1,2005-06-30,210.75,,65,7.7139,,103.57,7.4386301369863,1666.5555452054796,,7.9,-2.193780821917808,20.881643835616437,,,0.2505955086113679,4442.0,-4598.07397260274,68,-0.93,-0.6,-0.4,-0.76
2,2005-09-30,162.5,,65,4.2761,,102.75,5.06931506849315,1788.1767726027397,,7.0,-1.9618904109589042,18.94082191780822,,,0.23105063702313497,5295.0,-6065.536986301369,64,-0.93,-0.6,-0.4,-0.76
3,2005-12-31,165.0,,65,3.7209,,106.93,2.7,1909.798,,7.2,-1.73,17.0,,,0.185591426163893,10009.0,-7533.0,67,-0.72,-0.64,-0.54,-0.78
4,2006-03-31,179.25,,53,1.919,,106.63,3.8342465753424655,2032.6176712328768,9.7,7.9,-1.4661643835616438,16.284931506849315,,,0.23142994583808435,10691.0,-7090.1506849315065,51,-0.72,-0.64,-0.54,-0.78
5,2006-06-30,244.08,,57,3.416,,104.15,4.981095890410959,2156.802005479452,7.17,6.8,-1.1993972602739724,15.561917808219178,,,0.21169036426707882,12288.0,-6642.380821917808,55,-0.72,-0.64,-0.54,-0.78
6,2006-09-30,197.0,,56,3.3587,,105.46,6.140547945205479,2282.351002739726,7.97,6.4,-0.9296986301369863,14.830958904109588,,,0.22346803852186528,19037.0,-6189.690410958904,54,-0.72,-0.64,-0.54,-0.78
7,2006-12-31,156.75,,57,4.6488,,106.96,7.3,2407.9,11.4,6.8,-0.66,14.1,,,0.2169346199976196,20894.0,-5737.0,51,-0.75,-0.49,-0.52,-0.8
8,2007-03-31,147.9,,58,3.3979,,106.55,7.447945205479452,2608.1152328767125,10.17,7.4,-0.7808219178082192,13.508219178082191,,,0.21881450531632937,22803.0,-6595.328767123288,51,-0.75,-0.49,-0.52,-0.8
9,2007-06-30,135.4,,58,3.7497,,106.38,7.597534246575343,2810.555079452055,11.37,6.4,-0.9029863013698629,12.90986301369863,,,0.18215373341895527,30232.0,-7463.194520547945,58,-0.75,-0.49,-0.52,-0.8
10,2007-09-30,189.3,7.25,57,2.9638999999999998,,106.82,7.748767123287672,3015.2195397260275,14.03,6.2,-1.0264931506849315,12.304931506849314,,,0.15947778941941493,37487.0,-8340.597260273973,58,-0.75,-0.49,-0.52,-0.8
11,2007-12-31,237.5,9.25,56,4.2008,,108.01,7.9,3219.884,15.53,6.4,-1.15,11.7,,,0.20490593342981187,44168.0,-9218.0,58,-0.8,-0.67,-0.43,-0.73
12,2008-03-31,298.5,14.0,56,4.4538,,112.34,6.482786885245901,3437.5771338797813,22.5,7.1,-1.1102185792349726,11.35191256830601,,,0.2377094817061892,49192.0,-9388.314207650274,55,-0.8,-0.67,-0.43,-0.73
13,2008-06-30,386.7,19.975,56,16.4832,4.75,120.44,5.065573770491803,3655.2702677595626,30.2,6.2,-1.0704371584699452,11.003825136612022,,,0.2282874829249736,52915.0,-9558.628415300547,54,-0.8,-0.67,-0.43,-0.73
14,2008-09-30,717.7,15.5,58,11.2135,9.4975,126.54,3.6327868852459018,3875.355633879781,25.8,6.0,-1.0302185792349727,10.651912568306011,,,0.2285125573227717,54010.0,-9730.814207650274,56,-0.8,-0.67,-0.43,-0.73
15,2008-12-31,3085.1,28.0,67,39.3356,9.5,93.08,2.2,4095.441,22.6,6.4,-0.99,10.3,,,0.15476808893333246,45475.0,-9903.0,56,-0.84,-0.72,-0.53,-0.68
16,2009-03-31,3825.7,28.0,70,40.1464,9.5,104.54,-2.065753424657533,3740.260315068493,20.43,9.5,-1.5990410958904113,15.157534246575343,,,0.16012105346595829,42842.0,-8608.72602739726,56,-0.84,-0.72,-0.53,-0.68
17,2009-06-30,1663.02,23.25,69,20.2954,9.5,99.38,-6.37890410958904,3381.1331780821915,15.1,9.1,-2.214849315068493,20.069041095890412,,,0.12065098994041135,39342.0,-7300.071232876712,56,-0.84,-0.72,-0.53,-0.68
18,2009-09-30,1184.95,22.5,70,23.535,9.5,91.81,-10.73945205479452,3018.059589041096,15.27,8.6,-2.8374246575342466,25.034520547945206,,,0.14895179004264714,34775.0,-5977.035616438356,58,-0.84,-0.72,-0.53,-0.68
19,2009-12-31,1316.58,21.25,71,8.6567,9.5,93.04,-15.1,2654.986,13.33,8.8,-3.46,30.0,,,0.1967996901032598,32533.0,-4654.0,63,-1.04,-0.83,-0.57,-0.76
20,2010-03-31,638.12,17.375,70,5.2826,9.5075,98.81,-10.365753424657534,2735.820301369863,11.2,9.0,-4.044383561643835,33.032876712328765,,0.8835583153671099,0.19506052848168018,37481.0,-4926.465753424658,63,-1.04,-0.83,-0.57,-0.76
21,2010-06-30,636.02,17.375,69,2.7594,9.5,103.9,-5.5789041095890415,2817.5527616438353,8.37,8.5,-4.6352602739726025,36.09945205479452,,0.8802265600970475,0.16591504428512657,36220.0,-5201.958904109589,56,-1.04,-0.83,-0.57,-0.76
22,2010-09-30,549.27,17.375,67,1.7598,9.5,102.43,-0.7394520547945209,2900.1833808219176,8.53,8.0,-5.232630136986302,39.19972602739726,,0.8849623027099713,0.16924643888239363,36843.0,-5480.479452054795,56,-1.04,-0.83,-0.57,-0.76
23,2010-12-31,509.505,17.375,65,4.481,9.5,101.45,4.1,2982.814,9.47,8.1,-5.83,42.3,-2.23,0.86421578968333,0.19941939665260416,35680.0,-5759.0,56,-1.03,-0.78,-0.52,-0.81
24,2011-03-31,442.0,7.25,67,7.05,9.5,99.19,5.5,3132.4403561643835,7.7,8.7,-4.75,40.721917808219175,-3.26,1.0825453476725795,0.20040178685676427,34976.0,-6068.698630136986,56,-1.03,-0.78,-0.52,-0.81
25,2011-06-30,461.97,7.6,65,2.8918,9.5,99.24,4.4,3283.7292273972603,10.77,8.2,-3.6579999999999995,39.126301369863015,-4.6,0.9297266249190241,0.18730805208566154,34139.0,-6381.838356164383,57,-1.03,-0.78,-0.52,-0.81
