quarter,Argentina,Brazil,Chile,Colombia,Hungary,Indonesia,Malaysia,Mexico,Philippines,Poland,Romania,Russia,SouthAfrica,Thailand,Turkey,Ukraine
0,2005-03-31,,433.2,24.25,412.125,15.0,250.0,35.0,104.9,412.357,13.917,59.5,145.214,83.0,34.75,304.4,228.75
1,2005-06-30,368.502,325.981,23.875,291.366,19.5,266.25,30.333,92.947,399.875,16.833,51.5,100.0,59.75,34.0,261.05,210.75
2,2005-09-30,284.625,244.257,20.563,189.479,17.5,267.5,26.286,66.25,342.214,13.5,34.0,54.417,42.5,37.0,209.81,162.5
3,2005-12-31,367.002,225.071,19.625,167.0,26.5,207.75,26.25,62.694,268.625,15.5,36.0,67.667,40.625,38.875,155.5,165.0
4,2006-03-31,295.249,147.634,19.1,136.962,38.0,173.0,28.286,68.568,190.1,21.0,40.335,57.5,42.55,43.0,146.125,179.25
5,2006-06-30,303.801,171.794,20.75,176.149,50.5,219.667,33.214,80.416,234.688,27.333,54.75,68.75,76.0,42.813,294.131,244.08
6,2006-09-30,269.918,134.438,22.2,145.063,42.0,159.2,26.156,56.688,171.0,18.4,37.62,57.571,63.15,43.417,217.946,197.0
7,2006-12-31,202.626,99.5,18.5,114.25,20.8,123.5,17.25,40.5,122.375,13.1,19.505,43.9,42.313,26.833,160.875,156.75
8,2007-03-31,205.554,83.299,15.307,95.677,22.2,119.665,17.055,41.258,120.476,12.3,19.125,47.915,36.48,41.514,174.75,147.9
9,2007-06-30,249.759,75.833,13.168,83.713,19.1,110.26,16.225,35.599,110.675,8.7,17.5,43.24,28.56,38.314,145.752,135.4
10,2007-09-30,392.124,85.099,18.168,115.089,31.5,141.264,24.498,48.901,143.056,14.0,40.2,70.965,49.766,43.099,164.214,189.3
11,2007-12-31,461.906,103.0,31.708,130.0,54.8,152.83,41.993,69.498,153.335,23.503,87.4,88.17,72.907,54.833,167.339,237.5
12,2008-03-31,595.074,177.665,74.929,217.731,175.6,245.033,98.5,130.099,240.422,74.169,203.2,148.34,207.432,110.432,309.507,298.5
13,2008-06-30,656.634,120.571,58.49,161.896,133.8,281.647,111.914,115.399,261.647,50.503,195.3,107.731,190.703,132.254,309.168,386.7
14,2008-09-30,1003.412,179.3,113.35,206.444,165.7,360.178,168.325,144.32,286.383,73.668,259.3,261.491,210.683,169.934,297.085,717.7
15,2008-12-31,4040.675,300.51,203.167,309.175,419.0,691.364,230.058,292.604,386.213,256.0,634.8,741.155,393.556,255.264,408.688,3085.1
16,2009-03-31,4020.709,325.257,214.893,400.441,536.2,578.343,240.85,380.4,378.3,286.002,497.5,501.118,362.417,237.839,401.628,3825.7
17,2009-06-30,2021.347,176.481,124.461,206.401,359.53,310.481,108.452,207.165,216.422,169.335,391.68,343.617,218.534,110.698,264.127,1663.02
18,2009-09-30,1103.748,126.631,72.295,154.167,214.6,182.982,83.687,157.335,180.357,123.168,196.47,210.269,142.101,87.113,194.163,1184.95
19,2009-12-31,914.294,122.52,68.32,142.942,237.84,192.007,88.372,133.782,173.067,132.002,279.395,185.52,142.411,94.6,183.44,1316.58
20,2010-03-31,902.825,130.536,82.861,150.096,184.17,162.65,79.597,116.229,171.16,98.168,202.455,144.479,135.743,99.799,173.935,638.12
21,2010-06-30,986.854,139.948,104.503,152.223,341.93,189.663,103.746,137.53,174.101,154.773,408.89,196.752,174.638,133.71,195.664,636.02
22,2010-09-30,750.493,115.902,73.927,117.833,320.815,142.329,80.145,122.046,139.261,141.915,360.51,160.841,145.082,102.399,160.066,549.27
23,2010-12-31,601.899,111.277,84.417,112.672,378.22,128.246,74.507,113.556,127.555,141.567,296.6,145.658,126.116,97.498,140.823,509.505
24,2011-03-31,591.836,111.238,61.26,108.495,259.4,144.018,75.003,105.356,133.112,145.199,235.0,128.335,120.375,115.384,158.25,442.0
25,2011-06-30,588.718,110.005,75.661,108.143,269.5,141.745,90.683,107.491,138.706,145.318,246.67,142.375,123.866,132.389,175.684,461.97
26,2011-09-30,1084.271,201.755,154.474,199.125,531.665,291.49,196.848,197.315,256.635,295.582,440.0,309.365,211.505,236.958,294.464,885.48
27,2011-12-31,921.98,161.588,132.129,156.089,635.0,210.0,142.742,153.533,193.492,241.0,449.04,275.122,202.067,182.0,287.087,855.23
28,2012-03-31,822.797,122.005,91.845,109.994,547.5,166.481,100.257,117.675,146.304,181.3,317.5,184.195,160.394,126.838,228.401,857.24
29,2012-06-30,1252.891,157.323,115.851,143.039,502.66,192.865,124.421,140.424,161.261,216.7,415.92,230.564,163.0,150.655,241.025,844.48
30,2012-09-30,959.955,111.835,83.439,102.5,385.0,166.745,95.266,101.165,129.895,120.2,320.68,150.343,149.253,132.659,160.667,705.91
31,2012-12-31,1441.524,108.449,72.479,96.21,278.435,123.97,70.404,97.818,99.781,80.673,213.745,131.624,142.823,87.317,127.026,630.0
32,2013-03-31,3753.608,137.22,65.936,98.33,390.0,161.363,86.039,97.166,108.69,94.6,241.235,164.325,181.325,92.042,146.588,594.93
33,2013-06-30,3008.931,185.239,98.035,141.325,320.5,208.015,118.565,131.493,126.173,104.5,207.5,195.244,216.327,130.585,190.833,816.49
34,2013-09-30,2527.456,176.741,89.625,134.663,280.0,285.57,104.825,123.323,106.792,86.423,197.0,172.642,197.226,118.853,213.584,1118.275
35,2013-12-31,1653.598,193.771,79.55,118.658,260.0,236.852,109.444,91.51,114.168,79.702,183.85,165.165,204.109,129.893,244.72,809.955
36,2014-03-31,1876.369,169.0,77.34,106.015,233.78,175.322,101.825,87.498,104.823,70.703,170.0,222.075,194.798,123.67,219.801,884.88
37,2014-06-30,1761.255,144.5,63.625,80.875,164.82,161.482,84.836,67.063,87.178,56.2,134.595,183.693,176.625,111.911,176.813,774.31
38,2014-09-30,2666.132,174.124,77.662,99.578,173.505,166.973,89.998,87.127,99.485,70.32,147.97,248.512,195.322,92.998,207.663,1318.415
39,2014-12-31,2987.127,200.755,94.008,140.965,180.01,177.996,112.995,103.487,101.5,69.8,142.53,476.091,191.791,106.997,184.393,2199.05
40,2015-03-31,2987.127,282.82,83.464,159.46,133.0,154.831,132.487,125.609,92.591,59.119,106.87,407.859,208.737,104.153,217.2,4883.94
41,2015-06-30,5392.863,259.899,86.885,169.268,156.5,174.835,137.835,131.151,93.166,75.0,127.075,341.872,209.387,105.483,225.12,2800.485
42,2015-09-30,5392.863,476.429,145.033,249.299,170.5,276.303,238.823,175.993,134.647,79.67,134.345,361.132,292.494,168.0,312.397,1033.275
43,2015-12-31,5392.863,494.952,128.648,244.764,168.38,229.922,180.219,170.131,107.673,72.1,133.045,308.971,335.852,136.84,273.563,961.2451973684219
44,2016-03-31,5392.863,365.742,94.999,215.659,151.0,198.348,152.999,162.358,105.316,87.14,117.0,283.193,298.896,131.344,254.581,761.5301315789548
45,2016-06-30,419.697,316.922,94.498,205.423,160.52,185.175,154.51,159.117,114.17,85.919,128.1,232.873,281.036,114.497,242.873,744.12
46,2016-09-30,381.721,272.812,86.433,169.928,116.37,152.147,120.838,166.807,116.824,74.9,103.42,219.665,256.336,86.683,261.624,663.62
47,2016-12-31,419.362,280.758,83.245,164.223,124.23,157.896,138.382,155.913,109.67,80.0,109.435,231.347,255.666,81.595,273.165,652.93
48,2017-03-31,364.201,226.435,72.157,133.993,115.345,127.547,105.208,130.278,81.797,68.3,97.84,166.699,191.017,54.236,239.281,629.185
49,2017-06-30,323.122,242.29,65.854,136.101,109.285,117.414,85.45,112.633,77.369,60.9,108.65,169.233,200.481,61.884,194.718,585.0
50,2017-09-30,283.866,195.905,58.785,122.213,96.81,104.387,68.993,110.307,65.14,53.2,100.52,142.08,186.333,50.465,187.51,462.04
51,2017-12-31,232.249,161.967,48.902,104.707,85.65,85.247,58.373,106.107,67.276,48.0,90.0,127.579,156.973,45.0,164.795,431.95
52,2018-03-31,272.144,164.199,51.061,106.714,84.06,102.014,73.095,109.346,74.095,47.5,85.055,123.525,151.916,47.06,195.738,396.445
53,2018-06-30,450.357,269.959,60.785,125.161,93.915,136.204,107.555,134.227,91.308,64.6,98.71,141.215,216.093,49.38,299.911,479.395
54,2018-09-30,586.173,262.964,44.232,110.101,87.685,130.118,92.566,112.967,76.69,64.6,98.025,143.293,203.374,41.276,377.036,430.7
